Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,93.01,85.21,66.03,86.64,84.38,69.13,80.85,72.38,70.26,49.34,53.97
Accounts Receivable,0.56,0.45,22.97,1.16,1.95,21.47,5.62,6.98,11.36,9.08,8.35
Inventory,,,,,,0.08,0.06,0.04,0.18,0.25,0.14
Other Current Assets,2.33,2.76,3.08,5.23,8.14,2.99,1.75,4.84,1.82,2.0,2.46
Total Current Assets,95.91,88.43,92.09,93.03,94.47,93.67,88.28,84.24,83.62,60.67,64.92
Net PP&E,1.43,1.2,0.25,0.98,1.95,1.92,4.26,9.85,8.54,10.23,10.4
Intangibles,0.15,1.87,1.95,2.13,2.5,1.84,2.78,1.68,,26.0,16.76
Other Long-Term Assets,2.52,8.5,5.71,3.86,1.07,2.56,4.68,4.23,7.85,3.09,7.93
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,2.83,6.75,2.94,2.2,4.54,4.23,3.03,2.95,2.99,4.61,2.95
Short-Term Debt,,,,,,,,10.32,,,
Taxes Payable,,,,,,,,,,,
Accrued Liabilities,8.29,12.62,6.29,7.32,15.62,16.96,12.08,11.87,12.45,10.89,9.5
Other Short-Term Liabilities,2.15,2.3,9.41,13.68,21.07,20.0,2.05,1.55,1.24,1.19,1.02
Total Current Liabilities,13.27,21.66,18.65,23.2,41.22,41.18,17.16,26.69,16.68,16.69,13.47
Long-Term Debt,140.21,170.48,62.2,59.94,96.11,100.2,105.08,72.7,61.53,39.76,1.0
Other Long-Term Liabilities,4.37,2.85,33.52,34.97,31.7,11.57,8.43,10.45,4.8,17.95,11.49
Total Liabilities,157.86,194.99,114.37,118.11,169.03,152.95,130.67,109.83,83.01,74.4,25.97
Total Stockholders' Equity,-57.86,-94.99,-14.37,-18.11,-69.03,-52.95,-30.67,-9.83,16.99,25.6,74.03
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
