Key Balance Sheet Items (in %),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cash & Short-Term Investments,11.12,13.68,27.82,26.86,19.7,17.65,11.17,14.82,15.68,20.94,19.85
Accounts Receivable,1.58,1.75,1.6,1.46,1.54,1.62,1.61,1.56,1.51,1.42,1.79
Inventory,43.24,37.4,31.51,34.88,34.23,32.94,32.26,29.19,29.14,28.49,31.91
Other Current Assets,3.02,2.94,2.12,2.37,2.82,3.13,2.88,2.55,2.38,2.14,2.57
Total Current Assets,58.95,55.77,63.04,65.57,58.29,55.34,47.92,48.11,48.72,52.98,56.11
Net PP&E,36.62,40.4,34.06,31.57,37.61,40.68,48.12,48.35,48.12,43.85,40.72
Intangibles,0.54,0.47,0.1,0.09,0.09,0.08,0.07,0.06,,,
Other Long-Term Assets,3.89,3.36,2.79,2.77,4.01,3.89,3.89,3.48,3.16,3.17,3.17
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,26.87,22.79,23.78,24.63,23.07,22.0,20.0,21.28,19.42,19.24,22.36
Short-Term Debt,,,,,,,,,,,
Taxes Payable,,0.39,1.86,1.85,0.94,1.46,0.47,0.37,,0.3,
Accrued Liabilities,14.83,17.38,17.26,16.92,16.76,15.3,15.28,13.64,13.5,13.46,13.29
Other Short-Term Liabilities,0.92,,0.1,,,,,,,,
Total Current Liabilities,42.62,40.55,43.0,43.4,40.77,38.76,35.75,35.28,32.92,33.01,35.66
Long-Term Debt,6.33,6.37,5.42,4.81,4.54,4.09,3.85,8.47,8.13,7.47,6.88
Other Long-Term Liabilities,10.12,10.78,9.78,9.02,9.46,9.02,8.89,7.79,8.18,7.77,7.9
Total Liabilities,59.07,57.7,58.2,57.23,54.77,51.86,48.49,51.54,49.23,48.24,50.43
Total Stockholders' Equity,40.93,42.3,41.8,42.77,45.23,48.14,51.51,48.46,50.77,51.76,49.57
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
