Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,25.72,14.27,24.16,26.47,26.94,44.77,47.92,35.93,43.57,41.76,12.9
Accounts Receivable,25.87,23.78,22.21,19.58,17.03,16.5,15.79,16.97,15.65,16.66,12.13
Inventory,,,,,,,,,,,
Other Current Assets,6.09,7.57,4.2,6.82,5.56,2.49,3.83,4.63,4.08,2.64,2.41
Total Current Assets,57.69,45.62,50.56,52.87,49.53,63.77,67.55,57.54,63.3,61.06,27.44
Net PP&E,12.52,13.97,14.63,12.57,11.36,7.75,6.34,6.47,5.98,6.12,4.0
Intangibles,13.81,25.49,22.67,24.97,31.17,21.8,20.18,29.27,24.89,24.78,64.48
Other Long-Term Assets,15.99,14.92,12.14,9.59,7.94,6.68,5.93,6.72,5.83,8.04,4.08
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,0.47,0.48,2.68,2.72,2.71,3.74,3.69,3.37,3.73,3.08,1.56
Short-Term Debt,32.19,40.47,22.34,0.44,2.48,1.61,,,,5.63,7.39
Taxes Payable,,,1.01,1.06,0.81,1.42,1.08,0.34,0.22,0.32,0.6
Accrued Liabilities,21.18,,13.15,13.59,10.84,9.08,6.95,7.27,7.33,24.03,5.39
Other Short-Term Liabilities,24.85,37.6,22.51,18.94,22.58,13.56,14.24,14.7,12.5,12.52,8.93
Total Current Liabilities,78.69,78.56,61.7,36.76,39.43,29.41,25.97,25.7,23.78,45.58,23.87
Long-Term Debt,34.99,42.29,37.25,48.35,40.77,40.58,47.82,54.56,66.38,57.5,61.5
Other Long-Term Liabilities,32.02,35.23,31.31,27.08,25.68,20.28,18.54,23.77,20.86,19.92,19.07
Total Liabilities,145.7,156.07,130.26,112.19,105.88,90.27,92.33,104.02,111.03,122.99,104.44
Total Stockholders' Equity,-45.7,-56.07,-30.26,-12.19,-5.88,9.73,7.67,-4.02,-11.03,-22.99,-4.44
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
