Key Financials THB,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue THB Mil,800.0,852.0,3459.0,3334.0,1603.0,1778.0,1763.0,2438.0,5401.0,4647.0,4659.0
Gross Margin %,27.8,36.6,30.1,34.3,39.7,36.9,37.6,32.6,25.6,34.2,33.7
Operating Income THB Mil,-107.0,80.0,696.0,579.0,158.0,120.0,25.0,57.0,604.0,815.0,634.0
Operating Margin %,-13.4,9.3,20.1,17.4,9.9,6.7,1.4,2.3,11.2,17.5,13.6
Net Income THB Mil,-79.0,28.0,518.0,428.0,76.0,94.0,14.0,41.0,217.0,263.0,107.0
Earnings Per Share THB,-0.08,0.03,0.57,0.47,0.08,0.1,0.02,0.04,0.22,0.27,0.11
Dividends THB,,,,,,0.03,0.03,0.03,,0.04,0.05
Payout Ratio % *,,,,,,30.0,72.0,150.0,,14.8,45.5
Shares Mil,901.0,901.0,901.0,901.0,901.0,901.0,817.0,980.0,980.0,980.0,980.0
Book Value Per Share * THB,1.53,1.53,1.56,2.59,2.69,2.75,2.92,2.91,3.14,3.37,3.42
Operating Cash Flow THB Mil,-313.0,-17.0,1225.0,52.0,-60.0,-472.0,-1541.0,-1750.0,-2.0,207.0,422.0
Cap Spending THB Mil,-14.0,-67.0,-0.0,-17.0,-29.0,-80.0,-162.0,-198.0,-58.0,-60.0,-40.0
Free Cash Flow THB Mil,-327.0,-84.0,1225.0,35.0,-89.0,-552.0,-1703.0,-1949.0,-60.0,147.0,382.0
Free Cash Flow Per Share * THB,-0.36,-0.36,-0.09,1.02,-0.57,-0.05,-2.07,-1.81,-0.47,0.37,
Working Capital THB Mil,2437.0,3448.0,3931.0,3763.0,3935.0,4267.0,5492.0,5938.0,6739.0,6264.0,
