Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,28857.0,31944.0,30990.0,35119.0,46542.0,48017.0,46854.0,45998.0,44294.0,41863.0,37307.0
Gross Margin %,63.9,64.4,64.2,63.9,60.9,60.3,60.7,61.1,60.5,60.7,61.5
Operating Income USD Mil,7252.0,8446.0,8231.0,8413.0,10173.0,10779.0,10228.0,9708.0,8728.0,8626.0,7535.0
Operating Margin %,25.1,26.4,26.6,24.0,21.9,22.4,21.8,21.1,19.7,20.6,20.2
Net Income USD Mil,5981.0,5807.0,6824.0,11787.0,8584.0,9019.0,8584.0,7098.0,7351.0,6527.0,4550.0
Earnings Per Share USD,1.28,1.25,1.47,2.53,1.85,1.97,1.9,1.6,1.67,1.49,1.04
Dividends USD,,,,,,1.27,1.12,1.22,0.99,0.7,1.46
Payout Ratio % *,,,,,,,56.7,66.4,82.5,,21.2
Shares Mil,4662.0,4672.0,4658.0,4667.0,4646.0,4584.0,4509.0,4450.0,4405.0,4367.0,4332.0
Book Value Per Share * USD,,,,,,,23.74,28.24,25.07,,24.98
Operating Cash Flow USD Mil,7150.0,7571.0,8186.0,9532.0,9474.0,10645.0,10542.0,10615.0,10528.0,8796.0,7991.0
Cap Spending USD Mil,-1648.0,-1968.0,-1993.0,-2215.0,-2920.0,-2780.0,-2550.0,-2406.0,-2553.0,-2262.0,-1895.0
Free Cash Flow USD Mil,5502.0,5603.0,6193.0,7317.0,6554.0,7865.0,7992.0,8209.0,7975.0,6534.0,6096.0
Free Cash Flow Per Share * USD,,,,,,,5.81,6.83,8.07,,
Working Capital USD Mil,-1120.0,-812.0,3830.0,3071.0,1214.0,2507.0,3493.0,612.0,6465.0,7478.0,
