Key Balance Sheet Items (in %),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cash & Short-Term Investments,6.67,9.06,6.22,4.16,5.12,5.35,12.53,5.03,7.36,7.48,6.63
Accounts Receivable,4.36,4.16,4.2,3.99,4.54,4.95,5.62,4.67,3.99,4.58,5.02
Inventory,,,,,,,,,,,
Other Current Assets,68.22,68.45,72.66,75.33,71.97,70.89,62.45,77.31,79.1,75.78,75.29
Total Current Assets,79.25,81.67,83.08,83.48,81.63,81.2,80.6,87.01,90.45,87.84,86.94
Net PP&E,3.13,2.9,2.51,2.09,2.29,2.26,2.43,2.03,1.57,2.1,2.24
Intangibles,12.91,11.66,10.89,11.07,12.55,11.45,11.69,6.94,5.07,6.35,6.86
Other Long-Term Assets,4.71,3.78,3.52,3.36,3.53,5.09,5.29,4.02,2.9,3.71,3.96
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,0.53,0.51,0.56,0.45,0.54,0.49,0.53,0.59,0.35,0.4,0.32
Short-Term Debt,,2.88,,,,,6.78,,,,
Taxes Payable,,0.91,0.22,0.08,0.13,0.12,0.06,0.08,0.06,0.13,0.24
Accrued Liabilities,4.83,4.66,4.54,4.35,5.37,5.61,6.31,5.4,4.27,5.23,5.28
Other Short-Term Liabilities,67.7,65.02,69.33,73.36,69.38,70.43,60.91,75.82,77.41,74.43,73.48
Total Current Liabilities,73.07,73.98,74.65,78.24,75.41,76.65,74.59,81.89,82.09,80.19,79.32
Long-Term Debt,0.22,0.17,0.15,0.1,0.05,0.05,0.04,0.03,4.6,5.39,5.61
Other Long-Term Liabilities,5.28,4.85,4.81,4.11,4.69,4.12,4.56,3.56,3.05,3.72,3.98
Total Liabilities,78.57,79.0,79.6,82.45,80.16,80.82,79.19,85.48,89.74,89.3,88.91
Total Stockholders' Equity,21.43,21.0,20.4,17.55,19.84,19.18,20.81,14.52,10.26,10.7,11.09
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
