Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,9.76,6.56,8.74,10.57,6.76,6.37,5.72,5.77,4.74,5.82,5.05
Accounts Receivable,6.75,6.5,5.5,5.9,5.63,6.48,5.85,6.95,6.71,6.0,6.07
Inventory,1.39,1.65,1.44,1.48,1.74,1.84,1.69,1.8,1.83,1.74,1.7
Other Current Assets,6.29,6.33,6.54,5.36,6.22,5.54,5.89,5.56,5.35,4.19,4.33
Total Current Assets,24.2,21.05,22.23,23.32,20.36,20.24,19.15,20.08,18.63,17.75,17.15
Net PP&E,58.11,61.46,61.46,60.78,56.76,61.95,62.14,64.55,61.92,63.25,62.72
Intangibles,5.58,5.52,4.58,4.41,9.48,5.8,4.75,4.46,3.72,8.2,7.76
Other Long-Term Assets,12.12,11.97,11.74,11.5,13.4,12.01,13.96,10.91,15.73,10.8,12.37
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,3.11,2.99,3.08,5.09,4.46,6.31,5.59,5.85,4.67,4.58,5.38
Short-Term Debt,3.96,3.53,4.99,7.5,5.42,6.82,5.39,0.39,,3.61,5.81
Taxes Payable,,,,,,,,,,,
Accrued Liabilities,8.4,8.37,8.32,7.32,8.27,6.76,5.88,6.64,7.29,6.4,6.11
Other Short-Term Liabilities,0.44,,0.36,,0.48,,2.07,5.09,6.9,,0.04
Total Current Liabilities,15.91,14.89,16.75,19.91,18.63,19.89,18.94,17.96,18.86,14.6,17.35
Long-Term Debt,48.27,48.45,45.39,41.21,44.37,44.27,46.69,13.11,13.61,53.05,50.92
Other Long-Term Liabilities,26.64,26.12,26.04,22.91,23.88,24.92,23.65,57.97,58.99,24.62,23.53
Total Liabilities,90.82,89.46,88.18,84.02,86.88,89.08,89.29,89.04,91.45,92.26,91.8
Total Stockholders' Equity,9.18,10.54,11.82,15.98,13.12,10.92,10.71,10.96,8.55,7.74,8.2
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
