Key Balance Sheet Items (in %),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cash & Short-Term Investments,11.1,7.34,23.38,22.81,19.34,21.53,23.96,24.95,21.29,26.96,20.72
Accounts Receivable,2.17,2.32,1.98,2.51,2.47,2.34,2.06,2.03,2.17,2.01,2.63
Inventory,41.48,42.4,33.93,34.69,35.63,31.69,29.08,28.92,32.13,28.29,34.05
Other Current Assets,5.74,6.63,5.07,3.96,4.54,4.49,4.38,4.44,3.31,2.9,3.05
Total Current Assets,60.49,58.69,64.36,63.97,61.98,60.05,59.48,60.34,58.89,60.16,60.46
Net PP&E,33.87,35.63,30.64,30.87,32.79,33.89,35.24,34.76,35.98,35.18,35.01
Intangibles,2.75,2.91,2.41,2.26,2.17,3.32,3.07,2.78,2.99,1.52,1.41
Other Long-Term Assets,2.89,2.77,2.59,2.9,3.07,2.74,2.21,2.11,2.14,3.14,3.12
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,22.98,20.65,20.2,21.12,19.87,20.3,17.36,18.04,19.16,17.32,21.52
Short-Term Debt,0.03,6.39,,,,,,,,,
Taxes Payable,,,1.83,1.24,0.61,2.88,1.64,4.05,2.3,3.15,0.87
Accrued Liabilities,13.93,12.24,16.72,16.91,16.48,9.9,9.48,7.18,11.16,10.89,17.02
Other Short-Term Liabilities,4.89,5.52,0.03,0.03,0.04,6.46,6.0,6.05,5.67,5.57,
Total Current Liabilities,41.83,44.8,38.79,39.3,36.99,39.54,34.49,35.31,38.28,36.93,39.4
Long-Term Debt,12.62,5.92,10.37,9.71,9.35,8.14,12.49,14.59,14.12,17.29,16.07
Other Long-Term Liabilities,13.25,14.73,12.13,12.1,14.91,13.78,11.56,11.78,10.14,10.77,11.06
Total Liabilities,67.71,65.45,61.29,61.11,61.25,61.46,58.53,61.68,62.55,64.99,66.52
Total Stockholders' Equity,32.29,34.55,38.71,38.89,38.75,38.54,41.47,38.32,37.45,35.01,33.48
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
