Key Balance Sheet Items (in %),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cash & Short-Term Investments,1.75,0.44,0.55,0.39,0.35,0.34,0.3,0.9,1.48,1.19,1.19
Accounts Receivable,10.1,10.59,11.44,10.5,10.06,10.57,10.13,6.66,6.91,7.52,7.52
Inventory,9.39,9.54,9.25,8.04,8.06,8.74,9.32,7.74,7.11,7.16,7.16
Other Current Assets,2.29,2.25,3.09,2.16,2.01,2.86,2.28,1.1,1.48,2.03,2.03
Total Current Assets,23.54,22.82,24.32,21.1,20.49,22.51,22.03,16.41,16.98,17.9,17.9
Net PP&E,44.24,44.24,42.88,52.31,52.51,51.75,52.83,37.85,40.34,36.34,36.34
Intangibles,30.0,30.78,30.89,24.97,24.89,23.86,23.71,36.47,32.02,35.3,35.3
Other Long-Term Assets,2.22,2.16,1.91,1.62,2.11,1.87,1.42,9.28,10.65,10.45,10.45
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,8.02,8.11,8.66,7.39,6.63,7.47,7.36,5.14,4.58,5.95,5.95
Short-Term Debt,8.13,1.95,7.95,1.36,2.45,0.03,1.2,0.29,1.27,2.43,2.43
Taxes Payable,,,,,,,,,,,
Accrued Liabilities,3.16,3.05,3.11,2.08,1.98,2.32,2.03,1.41,1.76,1.66,1.66
Other Short-Term Liabilities,2.19,2.46,1.94,1.65,2.12,1.76,1.73,1.69,1.87,1.96,1.96
Total Current Liabilities,21.5,15.58,21.65,12.48,13.18,11.58,12.32,8.53,9.48,12.0,12.0
Long-Term Debt,48.03,44.7,30.78,31.26,29.49,26.48,25.83,21.92,23.86,23.7,23.7
Other Long-Term Liabilities,9.22,12.79,12.87,24.36,25.47,21.76,22.83,23.6,24.44,23.08,23.08
Total Liabilities,78.74,73.07,65.31,68.09,68.13,59.82,60.99,54.05,57.77,58.78,58.78
Total Stockholders' Equity,21.26,26.93,34.69,31.91,31.87,40.18,39.01,45.95,42.23,41.22,41.22
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
