Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,72.0,259.0,387.0,541.0,783.0,1134.0,1551.0,2234.0,2604.0,3084.0,3472.0
Gross Margin %,90.7,89.1,88.4,88.1,88.1,93.6,88.6,92.2,91.1,91.6,89.1
Operating Income USD Mil,-100.0,35.0,87.0,151.0,231.0,404.0,528.0,869.0,537.0,667.0,645.0
Operating Margin %,-138.5,13.4,22.5,27.8,29.5,35.7,34.0,38.9,20.6,21.6,18.6
Net Income USD Mil,-92.0,33.0,295.0,97.0,175.0,255.0,253.0,657.0,144.0,399.0,506.0
Earnings Per Share USD,-0.64,0.2,1.63,0.52,0.91,1.28,1.27,3.26,0.67,1.76,2.24
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,145.0,180.0,181.0,186.0,192.0,199.0,200.0,202.0,216.0,227.0,227.0
Book Value Per Share * USD,,,,,,,,,,,768.28
Operating Cash Flow USD Mil,-140.0,53.0,114.0,161.0,270.0,411.0,497.0,640.0,675.0,1086.0,1241.0
Cap Spending USD Mil,-69.0,-48.0,-63.0,-13.0,-22.0,-22.0,-29.0,-137.0,-286.0,-333.0,-376.0
Free Cash Flow USD Mil,-208.0,5.0,51.0,148.0,248.0,389.0,468.0,503.0,389.0,753.0,865.0
Free Cash Flow Per Share * USD,,,,,,,,,,,
Working Capital USD Mil,168.0,193.0,288.0,508.0,711.0,1136.0,1604.0,2189.0,1707.0,1755.0,
