Key Financials AUD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue AUD Mil,2994.0,3108.0,3261.0,2939.0,2878.0,2968.0,3001.0,3179.0,3515.0,4421.0,4290.0
Gross Margin %,12.3,12.9,11.4,6.9,7.9,7.9,8.2,8.5,8.9,7.8,8.0
Operating Income AUD Mil,146.0,174.0,-319.0,-20.0,56.0,10.0,46.0,62.0,60.0,58.0,63.0
Operating Margin %,4.9,5.6,-9.8,-0.7,2.0,0.3,1.5,2.0,1.7,1.3,1.5
Net Income AUD Mil,77.0,80.0,-389.0,-235.0,49.0,19.0,54.0,53.0,51.0,53.0,57.0
Earnings Per Share AUD,0.08,0.09,-0.4,-0.2,0.04,0.02,0.05,0.05,0.05,0.05,0.05
Dividends AUD,0.11,0.1,0.1,,0.02,0.08,0.06,0.03,0.06,0.08,0.08
Payout Ratio % *,140.3,140.3,108.7,,49.8,49.8,491.1,119.0,59.5,121.6,157.2
Shares Mil,968.0,907.0,956.0,1163.0,1159.0,1152.0,1115.0,1099.0,1075.0,1064.0,1060.0
Book Value Per Share * AUD,1.34,1.32,1.02,0.71,0.58,0.58,0.58,0.53,0.53,0.51,0.51
Operating Cash Flow AUD Mil,96.0,246.0,19.0,101.0,146.0,66.0,80.0,61.0,32.0,146.0,117.0
Cap Spending AUD Mil,-37.0,-34.0,-22.0,-43.0,-8.0,-10.0,-7.0,-10.0,-7.0,-27.0,-55.0
Free Cash Flow AUD Mil,59.0,212.0,-3.0,58.0,138.0,55.0,72.0,51.0,25.0,118.0,62.0
Free Cash Flow Per Share * AUD,0.06,0.06,0.23,0.05,0.12,0.12,0.05,0.06,0.05,0.02,
Working Capital AUD Mil,284.0,-24.0,-46.0,742.0,550.0,507.0,492.0,402.0,380.0,344.0,
