Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,20.09,25.5,17.08,18.1,57.22,8.77,9.47,29.22,28.18,20.88,43.9
Accounts Receivable,13.63,14.58,14.33,13.99,11.28,8.25,9.34,13.37,11.29,7.92,6.37
Inventory,10.28,13.22,10.84,10.38,8.03,8.22,9.14,4.0,3.77,2.79,1.77
Other Current Assets,7.9,7.96,7.36,6.76,3.91,3.76,4.38,4.51,4.53,4.3,2.57
Total Current Assets,51.9,61.27,49.62,49.24,80.44,28.98,32.33,51.1,47.77,35.88,54.62
Net PP&E,7.67,7.53,7.22,6.05,4.48,5.18,5.18,4.83,4.39,5.03,4.79
Intangibles,,,15.72,12.3,11.95,60.25,58.09,35.32,22.03,17.8,14.71
Other Long-Term Assets,40.43,31.2,27.44,32.41,3.14,5.58,4.39,8.74,25.81,41.29,25.87
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,4.98,8.57,8.36,6.93,6.97,6.25,5.58,2.76,2.27,2.12,1.08
Short-Term Debt,,,,,0.01,5.51,11.99,1.39,1.9,,2.7
Taxes Payable,,0.64,1.73,0.02,0.23,0.06,0.05,0.3,0.13,,
Accrued Liabilities,7.11,7.5,7.89,7.85,6.89,7.8,10.01,11.78,13.94,13.71,11.06
Other Short-Term Liabilities,0.53,0.69,1.32,6.47,0.43,0.49,0.49,0.39,0.85,0.35,
Total Current Liabilities,12.62,17.4,19.3,21.26,14.53,20.1,28.12,16.62,19.08,16.18,14.84
Long-Term Debt,22.48,19.33,12.81,25.41,43.96,33.21,17.51,34.39,40.89,46.24,42.55
Other Long-Term Liabilities,5.6,4.11,2.24,2.75,2.56,2.85,3.84,4.49,4.28,4.43,4.18
Total Liabilities,40.7,40.84,34.35,49.42,61.05,56.17,49.46,55.5,64.25,66.85,61.58
Total Stockholders' Equity,59.3,59.16,65.65,50.58,38.95,43.83,50.54,44.5,35.75,33.15,38.42
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
