Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,20.64,26.21,33.92,40.06,42.24,44.31,29.34,39.16,43.84,49.06,51.48
Accounts Receivable,6.07,5.69,5.32,5.37,5.93,4.64,4.08,3.69,4.18,4.08,4.24
Inventory,6.04,5.69,5.6,4.65,5.08,5.05,4.57,3.84,3.4,3.54,3.64
Other Current Assets,4.9,4.17,2.93,3.1,3.22,3.47,3.4,3.61,2.38,2.6,2.58
Total Current Assets,37.65,41.77,47.77,53.19,56.46,57.48,41.39,50.3,53.81,59.27,61.93
Net PP&E,17.15,16.13,14.48,12.7,11.09,9.81,8.09,7.57,6.86,6.39,6.12
Intangibles,42.07,39.31,35.08,43.58,29.33,30.63,42.69,39.82,36.92,32.24,29.44
Other Long-Term Assets,3.13,2.79,2.67,-9.47,3.12,2.09,7.83,2.31,2.41,2.09,2.51
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,1.09,1.38,1.45,1.65,1.31,1.67,1.19,1.76,1.35,1.18,1.09
Short-Term Debt,5.77,2.74,,5.72,0.17,4.6,3.79,0.72,3.14,5.67,2.49
Taxes Payable,,,,,,,,,,,
Accrued Liabilities,10.97,9.28,8.32,7.74,10.29,8.82,7.04,6.8,6.56,6.49,6.62
Other Short-Term Liabilities,,,,,,,,0.87,1.05,1.09,
Total Current Liabilities,17.84,13.41,9.77,15.11,11.77,15.09,12.02,10.16,12.11,14.43,10.2
Long-Term Debt,26.49,25.18,26.75,25.01,43.67,44.26,44.8,43.78,40.94,38.9,42.05
Other Long-Term Liabilities,4.08,5.47,6.28,4.82,5.61,5.55,9.77,8.71,7.71,8.19,7.63
Total Liabilities,48.41,44.06,42.8,44.94,61.06,64.9,66.58,62.65,60.76,61.51,59.88
Total Stockholders' Equity,51.59,55.94,57.2,55.06,38.94,35.1,33.42,37.35,39.24,38.49,40.12
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
