Key Balance Sheet Items (in %),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cash & Short-Term Investments,3.14,1.9,5.81,6.04,7.5,14.2,16.48,15.57,17.45,5.97,6.2
Accounts Receivable,19.7,14.38,16.14,18.17,17.84,16.45,16.92,16.14,15.15,14.11,13.91
Inventory,14.39,12.73,11.82,12.97,12.54,10.98,10.33,10.58,9.73,10.0,10.85
Other Current Assets,2.2,2.68,2.44,2.37,2.39,2.47,2.0,3.12,0.87,0.78,0.85
Total Current Assets,39.43,31.69,36.21,39.55,40.27,44.11,45.74,45.41,43.19,30.86,31.81
Net PP&E,18.55,19.08,17.13,16.51,15.4,14.42,13.74,13.53,13.01,12.51,12.48
Intangibles,36.76,42.38,39.72,38.46,36.0,35.99,32.84,32.18,31.73,50.96,50.18
Other Long-Term Assets,5.26,6.84,6.94,5.49,8.34,5.48,7.67,8.88,12.07,5.67,5.53
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,9.26,6.59,8.97,10.78,10.7,9.22,9.43,8.88,8.58,8.4,8.29
Short-Term Debt,1.14,4.89,3.67,0.69,2.02,10.64,6.15,1.81,3.0,6.51,7.27
Taxes Payable,,,,,,1.09,1.68,1.14,1.06,0.99,1.1
Accrued Liabilities,10.61,8.87,9.61,10.49,9.54,7.13,7.24,7.28,6.98,6.03,5.37
Other Short-Term Liabilities,,,,,,,,,,,
Total Current Liabilities,21.02,20.35,22.25,21.96,22.26,28.07,24.5,19.11,19.62,21.92,22.04
Long-Term Debt,18.8,18.67,14.26,15.53,13.46,11.93,11.36,22.15,22.19,31.39,30.44
Other Long-Term Liabilities,9.55,17.56,19.41,13.05,20.45,14.24,13.97,17.22,20.24,12.72,12.4
Total Liabilities,49.37,56.58,55.93,50.55,56.16,54.24,49.83,58.48,62.05,66.03,64.88
Total Stockholders' Equity,50.63,43.42,44.07,49.45,43.84,45.76,50.17,41.52,37.95,33.97,35.12
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
