Key Financials GBP,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue GBP Mil,54.0,52.0,41.0,54.0,56.0,54.0,47.0,46.0,49.0,54.0,63.0
Gross Margin %,25.0,24.1,26.7,30.2,34.4,27.9,27.3,23.6,26.1,27.8,26.3
Operating Income GBP Mil,5.0,4.0,3.0,6.0,9.0,5.0,3.0,2.0,2.0,2.0,3.0
Operating Margin %,8.4,8.4,8.3,11.0,15.4,8.8,6.8,3.8,3.8,3.3,4.4
Net Income GBP Mil,4.0,4.0,2.0,6.0,6.0,4.0,3.0,1.0,2.0,1.0,2.0
Earnings Per Share GBP,0.21,0.2,0.13,0.3,0.34,0.23,0.14,0.08,0.1,0.09,0.14
Dividends GBP,0.03,0.04,0.08,0.01,0.07,0.08,0.08,0.08,0.08,0.08,0.08
Payout Ratio % *,17.2,23.1,62.4,17.6,20.1,27.3,36.2,109.6,80.0,76.1,58.8
Shares Mil,18.0,18.0,18.0,18.0,18.0,18.0,18.0,17.0,17.0,17.0,17.0
Book Value Per Share * GBP,1.12,1.06,1.03,1.19,1.54,1.45,1.8,1.61,1.68,1.68,1.82
Operating Cash Flow GBP Mil,6.0,0.0,3.0,5.0,4.0,6.0,6.0,5.0,2.0,8.0,8.0
Cap Spending GBP Mil,-3.0,-2.0,-1.0,-0.0,-3.0,-1.0,-1.0,-1.0,-2.0,-4.0,-2.0
Free Cash Flow GBP Mil,3.0,-1.0,2.0,4.0,1.0,5.0,5.0,4.0,-1.0,4.0,6.0
Free Cash Flow Per Share * GBP,0.16,-0.06,0.12,0.04,0.08,0.25,0.26,0.14,0.17,-0.03,
Working Capital GBP Mil,4.0,7.0,9.0,11.0,14.0,17.0,16.0,17.0,14.0,12.0,
