Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,8.94,4.48,3.88,5.33,6.36,5.24,5.62,7.26,7.66,5.29,4.25
Accounts Receivable,12.16,11.03,10.14,9.45,9.46,8.47,7.4,7.23,6.0,5.46,5.35
Inventory,5.04,4.68,4.13,3.52,3.85,2.7,2.5,2.3,1.87,1.27,1.47
Other Current Assets,1.4,1.42,1.97,1.38,1.31,1.21,1.25,1.19,0.39,0.39,0.81
Total Current Assets,27.54,21.61,20.12,19.69,20.97,17.61,16.78,17.97,15.91,12.4,11.88
Net PP&E,3.11,2.83,2.53,2.04,2.04,1.56,1.43,1.32,1.04,0.99,0.99
Intangibles,67.17,73.6,75.27,75.59,74.45,78.74,80.5,79.51,82.15,85.89,86.31
Other Long-Term Assets,2.17,1.96,2.08,2.68,2.53,2.09,1.29,1.19,0.9,0.73,0.82
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,3.64,3.07,2.54,2.72,2.67,1.96,1.84,1.71,1.37,1.06,1.15
Short-Term Debt,9.59,5.89,2.61,1.84,1.31,7.34,0.13,0.13,0.07,2.8,2.82
Taxes Payable,,0.05,,,0.17,,0.05,,0.18,0.16,0.33
Accrued Liabilities,4.39,6.59,5.86,5.88,3.92,3.27,2.89,2.65,2.33,2.21,3.02
Other Short-Term Liabilities,1.71,,0.04,0.21,2.35,2.8,2.94,2.98,3.13,3.86,3.75
Total Current Liabilities,19.33,15.59,11.05,10.64,10.42,15.36,7.86,7.46,7.08,10.09,11.07
Long-Term Debt,21.07,26.03,24.05,24.61,19.08,21.26,29.98,26.19,32.1,40.55,34.62
Other Long-Term Liabilities,7.77,7.93,8.95,10.48,10.43,11.23,10.69,9.83,8.7,8.95,8.97
Total Liabilities,48.17,49.55,44.05,45.74,39.94,47.85,48.53,43.48,47.89,59.59,54.66
Total Stockholders' Equity,51.83,50.45,55.95,54.26,60.06,52.15,51.47,56.52,52.11,40.41,45.34
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
