Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,2.52,2.0,4.79,3.68,2.28,2.32,5.32,2.53,2.29,3.69,3.27
Accounts Receivable,9.68,11.58,8.67,12.27,12.5,12.39,10.99,12.64,9.06,9.22,10.55
Inventory,16.58,15.3,14.55,15.65,14.72,13.91,13.15,13.43,9.19,8.74,8.43
Other Current Assets,1.84,5.12,1.63,1.7,2.38,2.54,2.07,1.96,1.8,0.94,0.87
Total Current Assets,30.61,34.0,29.64,33.28,31.87,31.16,31.53,30.56,22.34,22.59,23.11
Net PP&E,32.24,29.31,30.04,29.57,31.1,30.49,30.34,32.11,27.47,27.13,26.61
Intangibles,32.97,36.69,39.08,36.42,33.33,34.27,33.7,32.42,24.26,43.46,43.51
Other Long-Term Assets,4.18,,1.24,0.73,3.7,4.08,4.43,4.92,25.93,6.83,6.76
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,12.68,11.99,9.6,10.11,11.63,12.61,12.77,17.7,15.35,12.57,14.23
Short-Term Debt,2.94,4.76,4.81,1.6,6.14,2.93,5.4,2.31,0.79,1.37,2.66
Taxes Payable,,,,,,,,,,,
Accrued Liabilities,3.95,3.65,3.31,3.73,3.41,3.71,3.09,3.56,2.35,1.95,1.75
Other Short-Term Liabilities,5.56,8.84,4.29,4.53,4.3,3.21,3.38,2.93,3.42,2.47,3.58
Total Current Liabilities,25.13,29.24,22.02,19.97,25.48,22.46,24.65,26.51,21.9,18.36,22.22
Long-Term Debt,36.24,33.09,35.2,39.0,37.02,41.1,40.7,39.54,51.69,45.2,41.78
Other Long-Term Liabilities,16.33,20.62,18.41,19.12,20.77,21.6,19.31,20.31,13.6,15.2,15.24
Total Liabilities,77.7,82.95,75.63,78.09,83.26,85.15,84.66,86.35,87.2,78.76,79.24
Total Stockholders' Equity,22.3,17.05,24.37,21.91,16.74,14.85,15.34,13.65,12.8,21.24,20.76
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
