Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,2136.0,2816.0,3279.0,4592.0,6121.0,7346.0,8843.0,10263.0,12416.0,13487.0,14444.0
Gross Margin %,43.5,44.2,43.6,42.2,42.2,41.8,40.5,40.2,40.1,39.9,38.6
Operating Income USD Mil,382.0,517.0,618.0,862.0,1136.0,1361.0,1678.0,1885.0,2142.0,2289.0,2385.0
Operating Margin %,17.9,18.3,18.9,18.8,18.6,18.5,19.0,18.4,17.3,17.0,16.5
Net Income USD Mil,350.0,431.0,535.0,734.0,884.0,1051.0,1228.0,1439.0,1624.0,1553.0,1938.0
Earnings Per Share USD,0.57,0.72,0.89,1.19,1.43,1.72,2.02,2.35,2.65,2.55,3.23
Dividends USD,,,,,,,,,,,0.3
Payout Ratio % *,,,,,,,,,,,9.2
Shares Mil,607.0,598.0,602.0,618.0,621.0,612.0,610.0,613.0,613.0,610.0,600.0
Book Value Per Share * USD,,,,,,,,,251.99,350.96,357.32
Operating Cash Flow USD Mil,344.0,430.0,672.0,765.0,875.0,1173.0,1424.0,1473.0,2153.0,1621.0,2151.0
Cap Spending USD Mil,-182.0,-169.0,-77.0,-186.0,-288.0,-334.0,-262.0,-212.0,-273.0,-300.0,-291.0
Free Cash Flow USD Mil,162.0,260.0,596.0,579.0,587.0,838.0,1162.0,1261.0,1881.0,1321.0,1860.0
Free Cash Flow Per Share * USD,,,,,,,,,42.92,48.41,
Working Capital USD Mil,901.0,1081.0,1661.0,2588.0,2876.0,3437.0,4373.0,4158.0,5194.0,6182.0,
