Key Financials CHF,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue CHF Mil,39321.0,9268.0,33294.0,31386.0,25891.0,23611.0,25856.0,26242.0,23797.0,20323.0,20902.0
Gross Margin %,,,,,,,,,,,
Operating Income CHF Mil,13740.0,-14902.0,8077.0,7487.0,3471.0,2190.0,4096.0,3627.0,-2422.0,-2266.0,-551.0
Operating Margin %,34.9,-160.8,24.3,23.9,13.4,9.3,15.8,13.8,-10.2,-11.1,-2.6
Net Income CHF Mil,7760.0,-8218.0,6724.0,5098.0,1953.0,1349.0,2326.0,1875.0,-2944.0,-2710.0,-1476.0
Earnings Per Share CHF,6.37,-7.33,4.71,3.56,1.24,0.74,1.14,1.0,-1.67,-1.27,-0.76
Dividends CHF,2.04,2.28,0.09,1.83,1.19,0.68,0.09,0.65,0.65,0.68,0.68
Payout Ratio % *,25.7,,,51.6,50.8,623.0,6.3,258.4,33.4,,
Shares Mil,1218.0,1154.0,1322.0,1312.0,1330.0,1415.0,1642.0,1739.0,1768.0,2123.0,2347.0
Book Value Per Share * CHF,19.91,20.61,20.12,21.27,20.64,20.88,20.27,21.38,20.41,19.0,14.74
Operating Cash Flow CHF Mil,-54004.0,129871.0,-14186.0,8228.0,38655.0,-12674.0,22074.0,-17620.0,15068.0,26775.0,28555.0
Cap Spending CHF Mil,-1207.0,-1473.0,-1387.0,-1689.0,-1739.0,-1242.0,-903.0,-1056.0,-1102.0,-1164.0,-1040.0
Free Cash Flow CHF Mil,-55211.0,128398.0,-15573.0,6539.0,36916.0,-13916.0,21171.0,-18676.0,13966.0,25611.0,27515.0
Free Cash Flow Per Share * CHF,-23.59,55.73,20.14,-8.76,13.78,-4.72,22.29,-8.91,1.7,4.46,
Working Capital CHF Mil,,,,,,,,,,,
