Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,8.74,8.01,8.91,8.25,7.2,8.5,14.29,13.7,12.9,11.13,9.53
Accounts Receivable,8.18,5.57,6.16,5.37,5.0,6.19,7.74,7.04,5.06,5.14,4.77
Inventory,,,,,,,,,,,
Other Current Assets,15.53,10.8,13.53,7.3,7.62,7.64,1.13,10.89,0.48,32.41,40.25
Total Current Assets,32.45,24.38,28.61,20.91,19.82,22.34,23.16,31.62,18.44,48.69,54.54
Net PP&E,1.39,2.1,2.02,1.33,1.62,2.0,1.82,1.97,1.7,1.81,1.59
Intangibles,54.17,62.62,60.56,40.68,42.54,47.65,42.19,38.25,30.03,29.26,26.78
Other Long-Term Assets,11.98,10.9,8.81,37.08,36.02,28.01,32.82,28.16,49.83,20.25,17.08
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,1.82,,,1.48,,,1.74,1.68,1.21,1.07,
Short-Term Debt,,3.05,,,1.11,,,25.17,,,
Taxes Payable,,0.39,0.76,0.35,0.31,0.45,0.64,0.47,0.31,0.36,
Accrued Liabilities,5.36,,,2.86,,,4.84,4.53,4.28,3.94,2.0
Other Short-Term Liabilities,20.99,18.12,20.31,11.28,13.95,15.06,12.17,13.52,26.65,34.86,43.94
Total Current Liabilities,28.17,21.56,21.07,15.97,15.37,15.51,19.39,45.37,32.46,40.22,45.94
Long-Term Debt,9.88,8.83,6.84,35.13,34.02,29.07,29.94,7.77,29.95,25.28,21.07
Other Long-Term Liabilities,10.97,11.29,8.73,8.48,8.64,7.87,7.11,6.18,6.14,5.34,5.62
Total Liabilities,49.01,41.69,36.63,59.57,58.03,52.45,56.45,59.31,68.55,70.84,72.63
Total Stockholders' Equity,50.99,58.31,63.37,40.43,41.97,47.55,43.55,40.69,31.45,29.16,27.37
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
