Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,,,,0.05,3.32,29.53,33.89,30.4,15.85,9.72,13.88
Accounts Receivable,,,,15.96,19.42,15.91,16.45,15.58,8.92,7.2,7.1
Inventory,,,,3.96,4.43,4.04,3.94,4.08,3.24,2.18,2.59
Other Current Assets,,,,18.92,10.23,7.36,6.85,8.35,2.75,5.39,3.92
Total Current Assets,,,,38.89,37.41,56.85,61.13,58.4,30.75,24.49,27.5
Net PP&E,,,,11.15,10.91,8.32,7.87,9.02,4.84,3.94,3.92
Intangibles,,,,46.79,45.83,31.3,27.97,26.77,61.97,67.04,63.79
Other Long-Term Assets,,,,3.17,5.85,3.53,3.03,5.8,2.44,4.53,4.79
Total Assets,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,,,,1.69,2.12,8.04,7.99,3.2,3.01,2.13,
Short-Term Debt,,,,,,3.78,1.41,1.54,0.77,0.57,1.16
Taxes Payable,,,,,,,,,,,
Accrued Liabilities,,,,16.11,27.88,9.77,3.64,17.23,1.97,1.63,
Other Short-Term Liabilities,,,,,,3.5,10.51,19.41,14.79,10.47,17.77
Total Current Liabilities,,,,17.8,30.0,25.09,23.56,41.38,20.54,14.8,18.93
Long-Term Debt,,,,,,,,,,,
Other Long-Term Liabilities,,,,7.9,7.82,62.46,61.06,52.29,72.03,78.19,71.35
Total Liabilities,,,,25.7,37.82,87.55,84.62,93.68,92.56,92.99,90.29
Total Stockholders' Equity,,,,74.3,62.18,12.45,15.38,6.32,7.44,7.01,9.71
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
