Key Financials GBP,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue GBP Mil,,,,,,0.0,1.0,-0.0,2.0,0.0,0.0
Gross Margin %,,,,,,100.0,,,,,
Operating Income GBP Mil,1.0,-1.0,-0.0,-0.0,-0.0,-0.0,1.0,-0.0,2.0,-0.0,-0.0
Operating Margin %,,,,,,-415.8,80.9,198.3,89.2,-624.4,-624.4
Net Income GBP Mil,1.0,-1.0,-0.0,-0.0,-0.0,-0.0,1.0,-0.0,2.0,-0.0,-0.0
Earnings Per Share GBP,,,,,,,,,,,
Dividends GBP,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,628.0,628.0,684.0,727.0,1114.0,2083.0,1643.0,2350.0,2648.0,2773.0,2773.0
Book Value Per Share * GBP,,,,,,,,,,,
Operating Cash Flow GBP Mil,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0
Cap Spending GBP Mil,,,,,-0.0,,,,,-0.0,-0.0
Free Cash Flow GBP Mil,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0
Free Cash Flow Per Share * GBP,,,,,,,,,,,
Working Capital GBP Mil,0.0,-0.0,-0.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,
