Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,25.1,27.39,21.02,20.44,17.48,7.49,5.78,4.01,5.28,6.72,7.12
Accounts Receivable,50.34,45.65,48.28,51.92,55.64,50.36,51.72,48.89,47.28,46.4,50.4
Inventory,,,,,,,,,,,
Other Current Assets,1.25,1.19,1.97,1.89,2.26,1.79,1.89,12.6,1.79,1.34,1.27
Total Current Assets,76.69,74.23,71.27,74.25,75.37,59.63,59.39,65.5,54.35,54.45,58.79
Net PP&E,5.61,5.73,6.42,5.73,5.93,5.34,5.73,4.74,5.99,6.32,5.58
Intangibles,16.19,18.7,20.72,18.67,17.29,34.22,33.77,29.16,38.58,37.97,34.39
Other Long-Term Assets,1.51,1.33,1.59,1.35,1.4,0.8,1.11,0.59,1.07,1.26,1.24
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,29.3,31.32,33.07,28.46,30.06,22.8,24.47,22.3,21.91,22.77,24.76
Short-Term Debt,,,,,,9.05,13.38,18.82,14.13,20.07,17.22
Taxes Payable,,,1.88,2.36,2.54,4.34,0.42,0.14,0.39,0.42,0.27
Accrued Liabilities,7.7,7.1,4.95,4.86,5.5,3.69,4.58,5.32,6.35,4.57,3.63
Other Short-Term Liabilities,4.83,,,2.99,2.9,4.07,2.47,2.45,2.71,2.22,1.68
Total Current Liabilities,41.83,38.42,39.9,38.66,41.0,43.94,45.31,49.03,45.49,50.05,47.57
Long-Term Debt,,,,,,,17.84,15.56,15.7,13.56,17.96
Other Long-Term Liabilities,0.63,0.6,1.23,1.0,0.6,2.41,3.32,2.85,2.68,2.28,2.02
Total Liabilities,42.46,39.02,41.13,39.67,41.61,46.35,66.47,67.43,63.87,65.89,67.55
Total Stockholders' Equity,57.54,60.98,58.87,60.33,58.39,53.65,33.53,32.57,36.13,34.11,32.45
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
