Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,8005.0,7980.0,7094.0,7776.0,8766.0,9534.0,10186.0,11130.0,11339.0,11856.0,13787.0
Gross Margin %,45.0,43.8,46.0,44.8,42.7,44.1,45.3,46.4,49.0,50.0,46.2
Operating Income USD Mil,968.0,781.0,681.0,753.0,776.0,937.0,1149.0,1304.0,1615.0,1750.0,1748.0
Operating Margin %,12.1,9.8,9.6,9.7,8.8,9.8,11.3,11.7,14.2,14.8,12.7
Net Income USD Mil,616.0,477.0,436.0,462.0,442.0,631.0,753.0,866.0,1054.0,1133.0,1078.0
Earnings Per Share USD,4.7,4.0,3.78,4.21,4.14,6.02,7.26,8.77,11.15,11.99,11.37
Dividends USD,1.26,1.4,1.42,1.44,1.46,1.56,2.0,2.2,2.68,3.36,2.54
Payout Ratio % *,,,,,,,,,24.5,26.6,21.5
Shares Mil,131.0,119.0,114.0,109.0,103.0,104.0,103.0,99.0,95.0,94.0,95.0
Book Value Per Share * USD,,,,,,,,,183.97,356.14,562.49
Operating Cash Flow USD Mil,875.0,876.0,859.0,707.0,736.0,888.0,1084.0,1082.0,1447.0,1309.0,1601.0
Cap Spending USD Mil,-166.0,-117.0,-91.0,-125.0,-154.0,-157.0,-167.0,-201.0,-234.0,-239.0,-209.0
Free Cash Flow USD Mil,709.0,759.0,768.0,581.0,582.0,731.0,917.0,881.0,1213.0,1070.0,1392.0
Free Cash Flow Per Share * USD,,,,,,,,,161.45,279.07,
Working Capital USD Mil,-72.0,-28.0,376.0,150.0,99.0,1273.0,630.0,-114.0,517.0,798.0,
