Key Balance Sheet Items (in %),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cash & Short-Term Investments,4.61,1.74,1.76,1.66,1.65,2.06,1.66,2.16,2.21,3.17,3.17
Accounts Receivable,1.36,2.38,2.26,2.4,2.58,2.49,2.67,3.06,3.35,3.03,3.03
Inventory,40.9,41.51,41.36,42.01,41.94,41.51,41.77,42.23,42.23,41.92,41.92
Other Current Assets,2.33,2.54,1.49,1.5,1.38,1.5,1.53,1.55,1.51,1.68,1.68
Total Current Assets,49.2,48.17,46.88,47.57,47.54,47.56,47.63,49.0,49.3,49.8,49.8
Net PP&E,43.55,44.27,45.23,45.47,45.58,44.56,44.03,43.27,43.41,43.53,43.53
Intangibles,5.76,5.69,5.43,5.16,4.83,5.34,5.89,5.7,5.27,4.8,4.8
Other Long-Term Assets,1.49,1.87,2.46,1.8,2.04,2.54,2.45,2.03,2.02,1.87,1.87
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,38.87,39.84,43.67,46.95,46.71,47.99,48.01,47.69,47.63,45.02,45.02
Short-Term Debt,0.3,,0.47,0.58,0.8,2.52,2.41,,,,
Taxes Payable,,0.66,0.46,0.43,0.27,1.57,1.58,1.79,1.61,1.43,1.43
Accrued Liabilities,4.93,7.17,7.76,7.22,7.63,5.0,4.9,3.12,4.78,4.5,4.5
Other Short-Term Liabilities,3.82,3.23,2.64,3.27,2.93,3.41,3.52,5.57,0.52,0.52,0.52
Total Current Liabilities,47.92,50.89,54.99,58.45,58.34,60.49,60.4,58.17,54.54,51.47,51.47
Long-Term Debt,42.8,51.27,51.73,56.52,59.34,58.23,55.37,57.08,57.26,54.87,54.87
Other Long-Term Liabilities,4.91,5.98,6.53,6.39,7.02,5.76,5.8,5.75,8.99,9.08,9.08
Total Liabilities,95.63,108.14,113.26,121.37,124.71,124.48,121.57,121.0,120.79,115.43,115.43
Total Stockholders' Equity,4.37,-8.14,-13.26,-21.37,-24.71,-24.48,-21.57,-21.0,-20.79,-15.43,-15.43
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
