Key Financials GBP,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue GBP Mil,,,,,,,,,,0.0,0.0
Gross Margin %,,,,,,,,,,67.1,59.2
Operating Income GBP Mil,,,,,,,,-3.0,-6.0,-12.0,-17.0
Operating Margin %,,,,,,,,,,,
Net Income GBP Mil,,,,,,,,-13.0,-24.0,-15.0,-16.0
Earnings Per Share GBP,,,,,,,,-0.12,-0.22,-0.15,-0.15
Dividends GBP,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,,,,,,,,108.0,108.0,101.0,106.0
Book Value Per Share * GBP,,,,,,,,,,0.5,0.44
Operating Cash Flow GBP Mil,,,,,,,,-3.0,-4.0,-10.0,-14.0
Cap Spending GBP Mil,,,,,,,,-0.0,-0.0,-3.0,-4.0
Free Cash Flow GBP Mil,,,,,,,,-3.0,-4.0,-13.0,-18.0
Free Cash Flow Per Share * GBP,,,,,,,,,,-0.04,
Working Capital GBP Mil,,,,,,,,-8.0,-1.0,19.0,
