Key Financials USD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue USD Mil,2522.0,1520.0,1821.0,3175.0,3172.0,2843.0,2929.0,2814.0,2984.0,3480.0,3699.0
Gross Margin %,54.6,43.1,55.2,60.3,58.1,56.5,57.9,56.8,61.0,63.0,63.1
Operating Income USD Mil,499.0,-578.0,314.0,1160.0,1016.0,730.0,772.0,661.0,960.0,1276.0,1389.0
Operating Margin %,19.8,-38.0,17.3,36.5,32.0,25.7,26.4,23.5,32.2,36.7,37.5
Net Income USD Mil,359.0,-523.0,212.0,794.0,756.0,543.0,583.0,366.0,704.0,926.0,1029.0
Earnings Per Share USD,1.95,-3.07,1.23,4.66,4.44,3.21,3.47,2.24,4.49,5.88,6.53
Dividends USD,0.6,0.6,0.6,1.0,1.4,1.6,1.8,2.0,2.08,2.14,2.21
Payout Ratio % *,30.8,,48.8,21.5,29.4,40.2,50.0,91.5,56.6,35.4,33.8
Shares Mil,184.0,170.0,173.0,170.0,170.0,169.0,168.0,164.0,157.0,157.0,158.0
Book Value Per Share * USD,17.13,12.79,13.37,17.11,18.95,20.83,22.0,3.13,3.06,7.32,9.34
Operating Cash Flow USD Mil,668.0,196.0,448.0,823.0,942.0,913.0,779.0,606.0,760.0,1080.0,1284.0
Cap Spending USD Mil,-57.0,-22.0,-30.0,-51.0,-58.0,-75.0,-68.0,-46.0,-32.0,-39.0,-44.0
Free Cash Flow USD Mil,611.0,173.0,418.0,772.0,884.0,839.0,711.0,560.0,728.0,1041.0,1239.0
Free Cash Flow Per Share * USD,3.32,1.02,2.41,4.53,5.29,5.53,3.75,2.94,4.38,5.95,
Working Capital USD Mil,2085.0,1835.0,2064.0,2794.0,3301.0,3490.0,3691.0,2903.0,2866.0,3099.0,
