Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,3898.0,4121.0,4095.0,4220.0,4452.0,4471.0,4623.0,4673.0,5998.0,7683.0,7762.0
Gross Margin %,77.5,75.8,75.8,76.0,74.8,74.8,72.6,73.4,70.0,69.0,72.1
Operating Income USD Mil,1127.0,1090.0,1018.0,917.0,1024.0,1047.0,1068.0,1037.0,467.0,825.0,1029.0
Operating Margin %,28.9,26.4,24.9,21.7,23.0,23.4,23.1,22.2,7.8,10.7,13.3
Net Income USD Mil,773.0,849.0,717.0,596.0,760.0,755.0,780.0,720.0,147.0,305.0,652.0
Earnings Per Share USD,3.26,3.72,3.32,2.97,4.03,4.29,4.54,4.2,0.77,1.51,3.2
Dividends USD,,,,,,0.72,0.8,0.88,0.88,0.96,0.96
Payout Ratio % *,,,,,,16.8,19.8,18.5,88.0,51.4,30.0
Shares Mil,238.0,228.0,216.0,201.0,188.0,176.0,172.0,171.0,190.0,202.0,203.0
Book Value Per Share * USD,23.4,25.16,27.61,29.51,31.46,34.15,36.13,38.54,49.29,48.58,51.61
Operating Cash Flow USD Mil,1084.0,1038.0,1118.0,1194.0,1177.0,1152.0,963.0,1052.0,817.0,1632.0,1806.0
Cap Spending USD Mil,-331.0,-597.0,-265.0,-280.0,-288.0,-265.0,-292.0,-342.0,-434.0,-530.0,-514.0
Free Cash Flow USD Mil,753.0,441.0,852.0,913.0,888.0,887.0,670.0,711.0,383.0,1102.0,1292.0
Free Cash Flow Per Share * USD,3.17,1.93,3.95,4.54,4.25,5.04,4.07,4.01,2.18,4.55,
Working Capital USD Mil,1334.0,1408.0,2047.0,2307.0,2410.0,2842.0,3166.0,3251.0,4245.0,2282.0,
