Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,5.58,6.5,3.03,4.57,2.98,9.98,12.17,13.69,4.89,8.07,6.99
Accounts Receivable,16.52,15.99,16.8,15.73,15.93,15.37,15.74,14.13,14.45,13.71,15.29
Inventory,17.76,17.44,16.82,18.51,18.36,16.64,16.02,16.27,15.83,14.74,13.7
Other Current Assets,3.8,2.29,6.0,7.32,7.15,6.4,5.68,4.83,3.95,3.54,4.93
Total Current Assets,43.66,42.22,42.65,46.13,44.42,48.39,49.61,48.93,39.12,40.06,40.92
Net PP&E,18.66,18.07,18.95,18.73,20.5,20.15,20.63,20.61,19.69,19.31,18.33
Intangibles,26.88,26.43,27.24,24.87,23.89,21.61,20.9,21.52,33.52,34.0,34.9
Other Long-Term Assets,10.81,13.28,11.15,10.26,11.19,9.85,8.87,8.94,7.67,6.63,5.85
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,4.8,4.18,6.09,6.97,7.04,6.13,6.81,6.58,8.13,6.84,6.0
Short-Term Debt,5.59,3.71,2.9,4.66,3.93,4.62,,0.23,3.56,6.44,1.06
Taxes Payable,,,,,0.73,0.93,0.7,0.43,0.28,0.39,
Accrued Liabilities,2.36,2.51,2.53,3.92,2.62,3.35,4.21,3.06,2.23,3.93,1.65
Other Short-Term Liabilities,7.01,6.0,6.79,7.46,4.71,4.14,5.1,4.55,5.76,4.77,6.69
Total Current Liabilities,19.76,16.4,18.32,23.01,19.04,19.16,16.82,14.85,19.94,22.36,15.4
Long-Term Debt,38.88,41.95,35.34,27.42,26.24,27.11,27.99,26.73,25.2,26.56,35.96
Other Long-Term Liabilities,18.72,20.8,17.26,14.78,17.48,15.29,11.27,14.97,12.12,10.59,9.77
Total Liabilities,77.37,79.16,70.92,65.21,62.76,61.57,56.09,56.55,57.27,59.52,61.13
Total Stockholders' Equity,22.63,20.84,29.08,34.79,37.24,38.43,43.91,43.45,42.73,40.48,38.87
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
