Key Financials RON,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue RON Mil,,,,,5368.0,5253.0,5383.0,5044.0,5503.0,5518.0,5559.0
Gross Margin %,,,,,100.0,100.0,100.0,,,,
Operating Income RON Mil,,,,,-104.0,246.0,345.0,511.0,569.0,586.0,145.0
Operating Margin %,,,,,-1.9,4.7,6.4,10.1,10.3,10.6,2.6
Net Income RON Mil,,,,,-113.0,356.0,244.0,297.0,363.0,357.0,53.0
Earnings Per Share RON,,,,,-0.11,0.59,0.34,1.07,1.07,1.05,0.15
Dividends RON,,,,,,,,,,0.97,0.74
Payout Ratio % *,,,,,,,,,,,
Shares Mil,,,,,709.0,709.0,709.0,278.0,339.0,339.0,339.0
Book Value Per Share * RON,,,,,,,,,,,
Operating Cash Flow RON Mil,,,,,318.0,996.0,915.0,981.0,743.0,718.0,-68.0
Cap Spending RON Mil,,,,,-574.0,-573.0,-656.0,-365.0,-394.0,-540.0,-572.0
Free Cash Flow RON Mil,,,,,-257.0,423.0,258.0,616.0,349.0,178.0,-640.0
Free Cash Flow Per Share * RON,,,,,,,,,,,
Working Capital RON Mil,,,,,126.0,307.0,2668.0,2549.0,2435.0,2318.0,
