Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,54759.0,59757.0,52425.0,52275.0,55754.0,57708.0,56600.0,57900.0,56098.0,57244.0,58816.0
Gross Margin %,27.1,27.0,25.9,27.4,27.6,27.0,28.5,29.4,27.9,27.6,27.0
Operating Income USD Mil,7050.0,7625.0,6377.0,6898.0,7846.0,7684.0,8549.0,9593.0,7291.0,8172.0,8359.0
Operating Margin %,12.9,12.8,12.2,13.2,14.1,13.3,15.1,16.6,13.0,14.3,14.2
Net Income USD Mil,4224.0,4689.0,3829.0,4373.0,4979.0,5130.0,5721.0,6220.0,7608.0,5055.0,5168.0
Earnings Per Share USD,4.27,4.9,4.12,4.74,5.49,5.66,6.25,6.82,8.61,6.12,6.46
Dividends USD,1.58,2.25,2.54,2.91,1.86,2.03,2.19,2.36,2.56,2.62,1.98
Payout Ratio % *,37.0,45.8,61.7,61.3,34.0,37.9,37.6,34.8,39.6,56.1,30.6
Shares Mil,989.0,956.0,928.0,923.0,906.0,907.0,915.0,912.0,883.0,826.0,801.0
Book Value Per Share * USD,236.98,231.57,280.01,287.82,348.99,367.65,407.83,552.16,633.02,748.25,718.07
Operating Cash Flow USD Mil,5330.0,6161.0,5353.0,5906.0,6590.0,6646.0,7505.0,7336.0,6326.0,3880.0,4909.0
Cap Spending USD Mil,-1153.0,-1216.0,-826.0,-865.0,-983.0,-2932.0,-2410.0,-2304.0,-2089.0,-2087.0,-2247.0
Free Cash Flow USD Mil,4177.0,4945.0,4527.0,5041.0,5607.0,3714.0,5095.0,5032.0,4237.0,1793.0,2662.0
Free Cash Flow Per Share * USD,46.1,71.54,63.7,67.74,80.98,53.4,55.54,93.75,81.81,63.74,
Working Capital USD Mil,4602.0,4665.0,5281.0,5778.0,7142.0,5824.0,6642.0,6863.0,4088.0,6644.0,
