Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,2688.0,2987.0,3046.0,4185.0,5270.0,5154.0,5621.0,5434.0,4076.0,4466.0,5918.0
Gross Margin %,39.5,35.1,34.6,35.5,37.2,36.9,38.1,39.0,37.9,37.9,37.3
Operating Income USD Mil,427.0,312.0,235.0,625.0,1008.0,1029.0,1290.0,1266.0,659.0,522.0,893.0
Operating Margin %,15.9,10.4,7.7,14.9,19.1,20.0,23.0,23.3,16.2,11.7,15.1
Net Income USD Mil,196.0,210.0,21.0,160.0,613.0,502.0,729.0,732.0,195.0,242.0,369.0
Earnings Per Share USD,1.8,1.92,0.17,1.29,4.88,4.82,7.17,7.18,1.92,2.38,3.61
Dividends USD,,,,0.5,1.5,2.0,4.0,5.25,3.0,2.0,2.0
Payout Ratio % *,,,,38.7,23.3,41.5,56.6,57.9,208.3,94.3,55.4
Shares Mil,113.0,109.0,120.0,124.0,126.0,104.0,102.0,102.0,102.0,102.0,102.0
Book Value Per Share * USD,,,321.7,222.7,288.51,-33.48,0.17,13.77,-30.27,-27.29,61.44
Operating Cash Flow USD Mil,659.0,523.0,594.0,1057.0,1516.0,1186.0,1677.0,1098.0,573.0,971.0,1567.0
Cap Spending USD Mil,-1051.0,-1377.0,-541.0,-284.0,-184.0,-241.0,-507.0,-1346.0,-1925.0,-1241.0,-938.0
Free Cash Flow USD Mil,-391.0,-854.0,53.0,773.0,1332.0,945.0,1170.0,-248.0,-1352.0,-270.0,629.0
Free Cash Flow Per Share * USD,,,5.77,77.38,156.9,118.14,139.34,69.46,-256.51,-112.91,
Working Capital USD Mil,997.0,687.0,1557.0,673.0,147.0,1071.0,1513.0,1469.0,1396.0,1574.0,
