Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,10519.0,9982.0,10091.0,10193.0,10278.0,10515.0,10369.0,10525.0,10731.0,11047.0,11244.0
Gross Margin %,,,,,,,,,,,
Operating Income USD Mil,997.0,824.0,1292.0,1331.0,333.0,1250.0,1220.0,542.0,1238.0,1348.0,1430.0
Operating Margin %,9.5,8.3,12.8,13.1,3.2,11.9,11.8,5.1,11.5,12.2,12.7
Net Income USD Mil,679.0,553.0,853.0,886.0,284.0,894.0,847.0,402.0,867.0,931.0,975.0
Earnings Per Share USD,1.91,1.62,2.57,2.71,0.94,3.17,3.19,1.57,3.5,3.95,4.26
Dividends USD,0.3,0.3,0.32,0.35,0.4,0.47,0.55,0.62,0.7,0.77,0.83
Payout Ratio % *,15.9,18.5,12.2,12.9,13.4,14.8,16.5,17.0,44.7,19.8,19.5
Shares Mil,356.0,342.0,332.0,327.0,304.0,282.0,266.0,257.0,248.0,236.0,229.0
Book Value Per Share * USD,23.17,19.32,25.62,28.25,32.32,31.87,33.34,36.64,35.62,40.73,42.11
Operating Cash Flow USD Mil,1750.0,1326.0,1237.0,1196.0,1194.0,1379.0,1032.0,1223.0,1292.0,1116.0,1227.0
Cap Spending USD Mil,,,,,,,-106.0,-115.0,-100.0,-85.0,-89.0
Free Cash Flow USD Mil,1750.0,1326.0,1237.0,1196.0,1194.0,1379.0,926.0,1109.0,1192.0,1031.0,1137.0
Free Cash Flow Per Share * USD,4.92,3.88,3.72,3.66,3.46,4.9,4.22,4.48,4.71,4.02,
Working Capital USD Mil,,,,,,,,,,,
