Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,49692.0,51486.0,45297.0,49545.0,53105.0,54127.0,55438.0,58232.0,58363.0,60906.0,63974.0
Gross Margin %,79.8,76.9,80.5,76.4,74.6,74.9,75.3,74.7,77.8,77.3,75.8
Operating Income USD Mil,578.0,5382.0,3801.0,5641.0,6080.0,1343.0,7034.0,4968.0,7668.0,5467.0,5607.0
Operating Margin %,1.2,10.5,8.4,11.4,11.4,2.5,12.7,8.5,13.1,9.0,8.8
Net Income USD Mil,382.0,3003.0,2152.0,3338.0,3804.0,807.0,4372.0,3032.0,4844.0,3431.0,3567.0
Earnings Per Share USD,0.36,2.94,2.14,3.33,3.84,0.83,4.61,3.28,5.35,3.87,4.08
Dividends USD,1.68,1.8,1.8,1.88,2.08,2.28,2.48,2.68,2.92,3.12,2.44
Payout Ratio % *,,,,,,,,65.4,65.5,54.7,59.8
Shares Mil,1063.0,1022.0,1004.0,1003.0,991.0,969.0,948.0,924.0,906.0,887.0,877.0
Book Value Per Share * USD,,,,,,,,91.59,37.81,65.44,33.61
Operating Cash Flow USD Mil,1123.0,8426.0,5285.0,3835.0,7073.0,7216.0,7304.0,5726.0,7430.0,6473.0,5528.0
Cap Spending USD Mil,-2820.0,-2636.0,-1602.0,-1389.0,-2005.0,-2153.0,-2065.0,-2328.0,-2379.0,-2965.0,-4836.0
Free Cash Flow USD Mil,-1697.0,5790.0,3683.0,2446.0,5068.0,5063.0,5239.0,3398.0,5051.0,3508.0,692.0
Free Cash Flow Per Share * USD,,,,,,,,71.91,103.37,88.58,
Working Capital USD Mil,1920.0,1028.0,3036.0,5667.0,5770.0,7201.0,6256.0,3169.0,2512.0,2119.0,
