Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,29.56,30.02,21.08,30.0,28.99,29.88,27.39,26.44,20.73,28.85,21.27
Accounts Receivable,29.24,28.37,42.11,35.36,37.44,35.72,21.31,19.94,27.02,22.34,17.29
Inventory,,,,,,,,,,0.04,0.54
Other Current Assets,0.7,1.12,1.63,1.45,0.1,,,1.21,0.26,,0.69
Total Current Assets,59.5,59.52,64.82,66.81,66.53,65.59,48.7,47.59,48.01,51.23,39.79
Net PP&E,23.28,22.83,19.57,17.34,16.38,14.22,14.78,13.89,12.53,11.94,12.65
Intangibles,,,,,,,,,,,
Other Long-Term Assets,17.22,17.65,15.61,15.85,17.09,20.19,36.53,38.53,39.46,36.83,47.56
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,22.0,19.41,28.5,25.65,28.25,30.6,,,,,19.17
Short-Term Debt,,,,,,,,,,,
Taxes Payable,,,,,1.53,0.75,0.12,0.05,0.18,0.25,0.03
Accrued Liabilities,,,,,,,,,,,2.14
Other Short-Term Liabilities,5.08,4.99,6.51,6.96,,,22.22,25.05,27.46,30.63,0.33
Total Current Liabilities,27.09,24.4,35.01,32.61,29.78,31.35,22.34,25.1,27.64,30.88,21.68
Long-Term Debt,,,,,,,,,,,
Other Long-Term Liabilities,1.76,1.98,1.72,1.72,4.84,4.77,7.08,3.84,3.47,3.48,4.21
Total Liabilities,28.84,26.38,36.73,34.33,34.62,36.12,29.42,28.95,31.11,34.36,25.89
Total Stockholders' Equity,71.16,73.62,63.27,65.67,65.38,63.88,70.58,71.05,68.89,65.64,74.11
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
