Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,,,,59.7,61.73,63.74,63.98,27.87,37.31,45.33,48.47
Accounts Receivable,,,,12.47,8.64,7.75,6.48,4.18,5.18,6.15,5.6
Inventory,,,,,,,,,,,
Other Current Assets,,,,2.94,2.35,3.12,2.58,1.97,1.33,1.48,1.89
Total Current Assets,,,,75.12,72.72,74.6,73.04,34.02,43.82,52.96,55.95
Net PP&E,,,,19.2,23.3,15.83,16.11,9.87,11.51,13.22,15.39
Intangibles,,,,3.21,2.56,9.19,9.62,54.52,43.05,31.8,25.65
Other Long-Term Assets,,,,2.47,1.42,0.38,1.23,1.59,1.61,2.02,3.01
Total Assets,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,,,,0.97,1.0,0.43,0.49,0.44,0.4,0.46,0.48
Short-Term Debt,,,,,,,,,0.41,,
Taxes Payable,,,,,,,,,,,
Accrued Liabilities,,,,4.58,4.68,2.8,3.1,2.16,1.35,3.02,3.17
Other Short-Term Liabilities,,,,7.46,8.53,3.73,2.56,0.95,1.75,0.94,0.53
Total Current Liabilities,,,,13.01,14.2,6.97,6.15,3.54,3.9,4.43,4.18
Long-Term Debt,,,,8.36,,9.93,,,,,
Other Long-Term Liabilities,,,,6.32,8.42,5.27,7.4,6.63,6.61,4.45,5.68
Total Liabilities,,,,27.69,22.62,22.17,13.55,10.17,10.5,8.88,9.86
Total Stockholders' Equity,,,,72.31,77.38,77.83,86.45,89.83,89.5,91.12,90.14
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
