Key Balance Sheet Items (in %),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cash & Short-Term Investments,7.48,12.31,16.01,20.46,16.99,13.07,9.88,16.84,9.15,12.15,13.26
Accounts Receivable,11.21,11.84,11.83,10.21,11.66,10.72,11.8,11.81,12.94,12.77,12.72
Inventory,3.62,4.66,4.4,3.76,4.58,5.46,5.64,5.49,6.8,6.11,5.49
Other Current Assets,0.74,1.0,0.9,0.71,1.09,1.31,0.73,0.57,2.02,1.07,1.2
Total Current Assets,23.05,29.81,33.14,35.15,34.32,30.56,28.06,34.72,30.91,32.11,32.67
Net PP&E,11.27,11.76,11.0,10.56,10.26,5.55,5.35,3.44,3.5,3.51,3.42
Intangibles,53.09,43.88,40.55,37.57,35.84,43.81,47.68,37.63,40.34,38.18,36.65
Other Long-Term Assets,12.59,14.56,15.31,16.73,19.58,20.08,18.91,24.22,25.25,26.2,27.26
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,9.14,,,,,,,,0.56,0.8,
Short-Term Debt,0.45,3.93,0.24,0.05,0.48,0.27,1.46,0.49,0.88,0.9,1.36
Taxes Payable,,,,,,,,,,,
Accrued Liabilities,,,,,,,,,5.12,4.79,
Other Short-Term Liabilities,5.15,16.1,16.06,15.39,16.49,16.29,14.7,14.02,8.05,7.77,14.36
Total Current Liabilities,14.74,20.03,16.3,15.44,16.97,16.56,16.16,14.51,14.61,14.27,15.71
Long-Term Debt,21.23,22.97,24.26,24.95,26.79,32.04,33.32,37.55,39.9,38.36,36.79
Other Long-Term Liabilities,18.09,13.28,13.27,12.0,12.67,18.04,18.73,13.53,17.24,16.38,16.16
Total Liabilities,54.06,56.28,53.82,52.39,56.44,66.63,68.21,65.6,71.75,69.0,68.66
Total Stockholders' Equity,45.94,43.72,46.18,47.61,43.56,33.37,31.79,34.4,28.25,31.0,31.34
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
