Key Balance Sheet Items (in %),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cash & Short-Term Investments,23.78,,21.82,25.17,22.33,23.5,27.06,25.54,25.1,21.97,22.92
Accounts Receivable,8.25,7.46,7.86,6.84,7.52,7.25,6.66,5.94,5.58,6.06,3.71
Inventory,,,,,,,,,,,
Other Current Assets,5.97,29.69,4.02,3.21,3.2,4.18,4.22,4.84,1.11,1.57,1.45
Total Current Assets,38.01,37.15,33.71,35.21,33.05,34.93,37.94,36.31,31.78,29.6,28.08
Net PP&E,4.22,3.93,3.82,3.52,3.22,2.63,2.46,2.3,2.16,1.88,1.87
Intangibles,46.97,49.05,57.59,56.16,60.39,60.13,58.13,59.54,61.42,64.74,66.03
Other Long-Term Assets,10.8,9.87,4.89,5.11,3.34,2.3,1.47,1.85,4.64,3.77,4.03
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,1.29,1.07,0.68,0.81,0.79,0.79,1.07,0.96,0.69,0.72,0.65
Short-Term Debt,3.07,5.78,0.13,2.17,0.12,0.14,4.28,0.09,0.05,0.14,2.18
Taxes Payable,,1.5,0.69,1.6,1.47,1.93,0.55,0.5,0.51,0.74,0.29
Accrued Liabilities,7.14,5.94,6.53,5.54,6.62,6.01,6.2,5.89,4.97,4.62,4.11
Other Short-Term Liabilities,24.89,21.96,22.28,21.49,22.27,21.12,20.54,19.32,19.61,17.62,15.5
Total Current Liabilities,36.39,36.24,30.31,31.61,31.27,29.98,32.64,26.76,25.83,23.84,22.73
Long-Term Debt,18.89,11.44,12.92,10.33,10.73,10.79,10.42,11.41,17.38,21.99,20.44
Other Long-Term Liabilities,13.17,13.71,14.67,12.79,13.02,13.09,10.59,10.59,8.79,9.06,8.63
Total Liabilities,68.45,61.39,57.91,54.73,55.01,53.86,53.65,48.77,52.0,54.89,51.8
Total Stockholders' Equity,31.55,38.61,42.09,45.27,44.99,46.14,46.35,51.23,48.0,45.11,48.2
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
