Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,5748.0,5710.0,5531.0,5636.0,5903.0,5995.0,5997.0,6121.0,6282.0,6440.0,6625.0
Gross Margin %,54.5,54.6,59.6,60.2,57.9,58.3,58.3,59.3,59.3,59.9,59.9
Operating Income USD Mil,1004.0,-168.0,1085.0,1025.0,1024.0,1092.0,1046.0,1180.0,1298.0,1433.0,1360.0
Operating Margin %,17.5,-2.9,19.6,18.2,17.3,18.2,17.4,19.3,20.7,22.3,20.5
Net Income USD Mil,497.0,-312.0,555.0,528.0,606.0,629.0,624.0,703.0,764.0,847.0,733.0
Earnings Per Share USD,1.79,-1.23,2.17,2.17,2.74,2.96,3.05,3.56,3.97,4.54,3.99
Dividends USD,,,0.15,0.9,1.21,1.36,1.52,1.64,1.92,2.12,2.27
Payout Ratio % *,,,6.9,41.4,46.3,46.0,47.9,45.2,49.1,44.9,56.9
Shares Mil,254.0,254.0,255.0,242.0,221.0,212.0,205.0,197.0,192.0,186.0,184.0
Book Value Per Share * USD,,10.28,12.54,10.98,10.63,11.11,11.66,12.25,11.69,11.63,11.79
Operating Cash Flow USD Mil,603.0,709.0,865.0,2535.0,760.0,458.0,866.0,1022.0,991.0,939.0,966.0
Cap Spending USD Mil,-230.0,-304.0,-317.0,-246.0,-218.0,-200.0,-184.0,-171.0,-180.0,-182.0,-161.0
Free Cash Flow USD Mil,373.0,405.0,548.0,2289.0,542.0,258.0,682.0,851.0,811.0,757.0,805.0
Free Cash Flow Per Share * USD,,1.59,2.15,9.44,6.03,1.22,3.12,4.26,4.32,3.89,
Working Capital USD Mil,1604.0,436.0,425.0,-29.0,-158.0,103.0,89.0,173.0,234.0,1685.0,
