Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,753.0,924.0,932.0,1001.0,1732.0,2470.0,2517.0,2777.0,3286.0,3444.0,3555.0
Gross Margin %,73.7,66.8,67.5,67.5,61.2,60.5,55.6,56.3,57.1,58.1,58.4
Operating Income USD Mil,116.0,139.0,194.0,425.0,317.0,680.0,653.0,717.0,854.0,976.0,1056.0
Operating Margin %,15.5,15.0,20.9,42.4,18.3,27.5,26.0,25.8,26.0,28.3,29.7
Net Income USD Mil,282.0,223.0,266.0,246.0,364.0,363.0,454.0,476.0,418.0,649.0,1172.0
Earnings Per Share USD,2.25,1.59,1.74,1.56,1.58,1.23,1.54,1.6,1.25,1.86,3.27
Dividends USD,1.9,2.05,2.05,2.14,2.3,2.48,2.73,2.96,3.04,2.96,3.1
Payout Ratio % *,165.2,157.6,161.4,155.0,193.1,238.5,162.3,181.3,212.3,175.9,157.4
Shares Mil,123.0,140.0,153.0,158.0,231.0,294.0,295.0,297.0,334.0,348.0,358.0
Book Value Per Share * USD,13.64,14.99,15.74,15.18,32.01,30.9,30.2,28.64,28.74,29.62,30.13
Operating Cash Flow USD Mil,400.0,364.0,422.0,448.0,773.0,993.0,1195.0,1255.0,1392.0,1367.0,1448.0
Cap Spending USD Mil,-1355.0,-70.0,-60.0,-294.0,-630.0,-1636.0,-1519.0,-1437.0,-2758.0,-261.0,-385.0
Free Cash Flow USD Mil,-955.0,294.0,363.0,153.0,144.0,-644.0,-324.0,-183.0,-1367.0,1106.0,1062.0
Free Cash Flow Per Share * USD,-7.76,2.1,2.37,0.97,0.65,-2.19,-2.47,0.05,-4.54,-4.05,
Working Capital USD Mil,-121.0,35.0,-61.0,-407.0,-1262.0,-941.0,-1127.0,-1285.0,-1102.0,-942.0,
