Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,,15.59,16.74,19.16,21.89,18.34,17.43,15.86,12.03,11.19,9.26
Accounts Receivable,,8.7,5.52,6.26,6.88,9.66,13.71,14.41,13.57,14.3,12.82
Inventory,,14.49,7.42,8.73,9.91,9.85,8.44,7.68,7.08,6.22,5.14
Other Current Assets,,9.84,13.8,4.04,2.99,8.99,9.41,9.14,7.43,2.67,6.17
Total Current Assets,,48.62,43.47,38.2,41.66,46.84,49.0,47.09,40.1,34.37,33.38
Net PP&E,,43.57,13.71,13.85,15.88,17.3,15.55,15.61,26.42,31.73,15.33
Intangibles,,0.29,33.18,31.43,26.99,5.88,4.35,3.61,3.06,2.82,2.55
Other Long-Term Assets,,7.52,9.64,16.52,15.47,29.98,31.11,33.69,30.42,31.07,48.74
Total Assets,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,,24.45,13.74,15.48,16.94,16.84,14.2,12.68,12.37,12.16,10.14
Short-Term Debt,,18.59,7.5,1.16,1.16,3.69,8.51,8.44,9.64,13.09,11.16
Taxes Payable,,,,,,,,,,,
Accrued Liabilities,,35.62,16.35,17.31,15.74,15.6,14.04,14.95,13.17,11.93,11.59
Other Short-Term Liabilities,,4.4,0.88,,,,0.77,0.91,1.56,1.24,2.78
Total Current Liabilities,,83.05,38.47,33.95,33.84,36.13,37.52,36.98,36.74,38.42,35.66
Long-Term Debt,,31.87,4.08,6.58,8.06,7.05,13.24,17.93,18.3,25.08,29.22
Other Long-Term Liabilities,,79.06,41.86,33.42,31.74,32.56,23.63,25.14,24.46,16.72,16.71
Total Liabilities,,193.98,84.41,73.95,73.64,75.74,74.39,80.04,79.5,80.23,81.59
Total Stockholders' Equity,,-93.98,15.59,26.05,26.36,24.26,25.61,19.96,20.5,19.77,18.41
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
