Key Financials USD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue USD Mil,,,,,,964.0,1148.0,1711.0,2611.0,3033.0,2932.0
Gross Margin %,,,,,,31.7,35.3,40.3,40.2,37.4,37.5
Operating Income USD Mil,,,,,,-16.0,27.0,122.0,12.0,88.0,59.0
Operating Margin %,,,,,,-1.6,2.4,7.2,0.5,2.9,2.0
Net Income USD Mil,,,,,,-53.0,13.0,196.0,-29.0,-17.0,-17.0
Earnings Per Share USD,,,,,,,,2.11,-0.2,-0.13,-0.14
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,,,,,,,,93.0,142.0,127.0,127.0
Book Value Per Share * USD,,,,,,,,6.01,40.07,38.45,38.57
Operating Cash Flow USD Mil,,,,,,71.0,131.0,306.0,688.0,777.0,791.0
Cap Spending USD Mil,,,,,,-55.0,-68.0,-171.0,-316.0,-553.0,-495.0
Free Cash Flow USD Mil,,,,,,17.0,63.0,135.0,372.0,224.0,296.0
Free Cash Flow Per Share * USD,,,,,,,,0.94,2.3,1.69,
Working Capital USD Mil,,,,,,,317.0,1175.0,1135.0,1043.0,
