Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,23.0,52.0,32.0,42.0,46.0,50.0,69.0,94.0,75.0,55.0,64.0
Gross Margin %,65.8,61.2,50.7,52.9,52.6,48.1,55.1,54.3,50.8,57.4,58.8
Operating Income USD Mil,2.0,-11.0,-10.0,1.0,4.0,6.0,-3.0,14.0,-23.0,14.0,20.0
Operating Margin %,6.9,-21.9,-32.5,2.7,9.6,11.9,-4.8,15.3,-30.7,25.6,32.0
Net Income USD Mil,-6.0,3.0,-14.0,-3.0,7.0,2.0,-7.0,5.0,-17.0,7.0,12.0
Earnings Per Share USD,-2.36,1.19,-5.0,-1.03,2.72,0.82,-2.47,1.9,-6.37,2.48,4.31
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Book Value Per Share * USD,8.69,4.64,4.7,4.48,6.32,5.34,6.69,8.1,3.61,2.31,5.75
Operating Cash Flow USD Mil,-1.0,17.0,22.0,12.0,7.0,17.0,24.0,20.0,9.0,16.0,16.0
Cap Spending USD Mil,-86.0,-99.0,-1.0,-4.0,-9.0,-17.0,-20.0,-22.0,,-0.0,-2.0
Free Cash Flow USD Mil,-87.0,-82.0,21.0,8.0,-2.0,0.0,4.0,-2.0,9.0,15.0,14.0
Free Cash Flow Per Share * USD,-23.61,-22.33,5.21,3.15,0.25,0.34,-0.14,1.63,-0.34,5.66,
Working Capital USD Mil,-0.0,-17.0,-9.0,-16.0,-43.0,-18.0,-2.0,-23.0,13.0,17.0,
