Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,672.0,940.0,885.0,969.0,1221.0,1249.0,1230.0,1263.0,1285.0,1315.0,1405.0
Gross Margin %,,,,,,,,,,,
Operating Income USD Mil,224.0,205.0,144.0,127.0,285.0,369.0,348.0,381.0,391.0,410.0,441.0
Operating Margin %,33.4,21.8,16.3,13.1,23.4,29.6,28.3,30.1,30.4,31.1,31.4
Net Income USD Mil,149.0,138.0,101.0,86.0,192.0,245.0,232.0,251.0,260.0,281.0,307.0
Earnings Per Share USD,0.52,0.41,0.3,0.24,0.55,0.72,0.74,0.84,0.86,0.92,0.91
Dividends USD,0.52,0.58,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69
Payout Ratio % *,99.8,138.8,202.5,257.3,115.7,88.5,88.3,80.8,78.2,74.2,75.3
Shares Mil,292.0,330.0,332.0,353.0,348.0,338.0,312.0,298.0,300.0,304.0,324.0
Book Value Per Share * USD,14.9,14.88,14.78,14.53,14.8,14.84,15.11,15.12,15.26,15.39,15.89
Operating Cash Flow USD Mil,181.0,236.0,104.0,231.0,184.0,514.0,379.0,350.0,328.0,336.0,450.0
Cap Spending USD Mil,-64.0,-50.0,-62.0,-78.0,-43.0,-84.0,-84.0,-54.0,-80.0,-42.0,-40.0
Free Cash Flow USD Mil,118.0,185.0,42.0,153.0,141.0,429.0,295.0,297.0,248.0,293.0,409.0
Free Cash Flow Per Share * USD,0.41,0.56,0.13,0.43,0.25,1.27,0.95,0.87,0.81,1.17,
Working Capital USD Mil,,,,,,,,,,,
