Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,31.63,28.9,22.41,35.73,38.78,37.86,45.66,46.68,10.55,9.76,11.21
Accounts Receivable,14.85,15.6,14.46,16.67,17.51,11.31,12.71,10.3,4.06,4.9,5.17
Inventory,9.84,10.43,5.2,6.14,5.84,3.62,3.09,4.2,2.21,2.83,3.23
Other Current Assets,5.1,3.1,5.42,5.34,5.36,4.44,4.45,5.36,1.66,1.96,1.52
Total Current Assets,61.42,58.03,47.49,63.89,67.49,57.22,65.91,66.54,18.47,19.45,21.12
Net PP&E,31.19,29.29,20.94,16.03,11.89,6.34,6.06,9.33,5.31,7.82,9.92
Intangibles,5.97,10.95,6.17,4.36,12.28,34.45,26.04,20.02,74.28,70.47,66.47
Other Long-Term Assets,1.43,1.74,25.4,15.72,8.34,1.99,1.99,4.11,1.94,2.26,2.48
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,2.71,1.81,1.47,1.58,1.15,0.82,0.65,1.05,0.44,0.48,0.26
Short-Term Debt,0.08,0.52,,,0.05,1.84,1.45,1.14,1.33,1.26,1.22
Taxes Payable,,,,,1.31,2.62,3.28,2.26,0.09,0.29,
Accrued Liabilities,8.47,9.67,9.11,10.58,8.71,1.91,3.19,6.27,2.56,3.01,5.15
Other Short-Term Liabilities,0.01,5.67,0.26,1.53,5.28,6.59,8.98,3.72,1.05,1.16,0.49
Total Current Liabilities,11.28,17.68,10.84,13.69,16.51,13.78,17.56,14.44,5.47,6.21,7.12
Long-Term Debt,58.02,29.57,1.26,0.37,,3.86,1.96,0.23,24.98,21.79,20.25
Other Long-Term Liabilities,0.33,1.03,0.36,0.99,2.15,6.95,8.69,6.75,6.66,6.4,7.07
Total Liabilities,69.63,48.28,12.47,15.05,18.66,24.59,28.2,21.42,37.12,34.4,34.44
Total Stockholders' Equity,30.37,51.72,87.53,84.95,81.34,75.41,71.8,78.58,62.88,65.6,65.56
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
