Key Financials AUD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue AUD Mil,44.0,34.0,33.0,32.0,26.0,20.0,17.0,16.0,17.0,37.0,37.0
Gross Margin %,,,,,,,,,,,
Operating Income AUD Mil,16.0,2.0,12.0,12.0,9.0,5.0,3.0,2.0,-1.0,-9.0,-9.0
Operating Margin %,35.1,6.0,38.0,37.1,35.4,23.7,15.5,15.4,-4.0,-24.5,-24.5
Net Income AUD Mil,17.0,7.0,12.0,12.0,7.0,5.0,4.0,7.0,10.0,-3.0,-3.0
Earnings Per Share AUD,0.65,0.28,0.43,0.46,0.26,0.18,0.14,0.26,0.38,-0.04,-0.04
Dividends AUD,1.27,0.85,0.67,0.69,0.53,0.3,0.23,0.18,0.34,0.27,0.27
Payout Ratio % *,196.3,307.0,156.4,152.1,225.1,164.9,146.1,147.2,62.4,146.8,
Shares Mil,26.0,27.0,27.0,27.0,27.0,26.0,27.0,27.0,27.0,64.0,64.0
Book Value Per Share * AUD,1.29,1.03,1.05,0.8,0.73,0.69,0.7,0.72,0.95,0.33,0.89
Operating Cash Flow AUD Mil,24.0,9.0,10.0,9.0,4.0,2.0,3.0,6.0,3.0,26.0,26.0
Cap Spending AUD Mil,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Free Cash Flow AUD Mil,24.0,9.0,10.0,9.0,4.0,2.0,3.0,6.0,3.0,25.0,25.0
Free Cash Flow Per Share * AUD,0.91,0.32,0.35,0.35,0.52,0.2,0.01,0.14,0.14,-0.06,
Working Capital AUD Mil,26.0,19.0,21.0,15.0,17.0,17.0,16.0,12.0,12.0,17.0,
