Key Financials USD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue USD Mil,6523.0,6817.0,7363.0,8073.0,8604.0,9148.0,9475.0,10187.0,10636.0,10889.0,10889.0
Gross Margin %,50.1,50.1,50.4,51.0,51.5,51.8,52.1,52.3,52.7,52.7,52.7
Operating Income USD Mil,1124.0,1176.0,1319.0,1495.0,1629.0,1773.0,1830.0,1953.0,2060.0,2080.0,2080.0
Operating Margin %,17.2,17.3,17.9,18.5,18.9,19.4,19.3,19.2,19.4,19.1,19.1
Net Income USD Mil,642.0,657.0,738.0,849.0,930.0,1016.0,1070.0,1160.0,1241.0,1281.0,1281.0
Earnings Per Share USD,10.04,11.73,14.97,19.47,23.48,27.79,31.57,36.03,40.7,44.07,44.07
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,64.0,56.0,49.0,44.0,40.0,37.0,34.0,32.0,30.0,29.0,29.0
Book Value Per Share * USD,7.65,-8.52,-16.38,-31.27,-41.81,-44.68,-55.98,-53.6,-63.99,-61.59,-52.39
Operating Cash Flow USD Mil,921.0,924.0,1196.0,1292.0,1224.0,1415.0,1341.0,1525.0,1577.0,1571.0,1571.0
Cap Spending USD Mil,-244.0,-272.0,-315.0,-322.0,-378.0,-414.0,-449.0,-491.0,-499.0,-554.0,-554.0
Free Cash Flow USD Mil,678.0,652.0,881.0,970.0,846.0,1001.0,892.0,1035.0,1079.0,1017.0,1017.0
Free Cash Flow Per Share * USD,9.9,11.64,17.87,22.24,21.35,24.53,30.79,27.29,34.81,32.1,
Working Capital USD Mil,67.0,-145.0,-452.0,-638.0,-677.0,-891.0,-960.0,-743.0,-451.0,-155.0,
