Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,0.62,0.71,8.58,16.23,19.19,10.57,15.46,18.81,3.35,1.98,1.77
Accounts Receivable,18.08,21.02,14.53,15.9,13.96,13.66,13.96,13.49,12.24,13.03,12.59
Inventory,,,,,,,,,,,
Other Current Assets,11.17,14.25,10.04,10.55,10.17,11.63,12.51,13.5,10.31,11.73,11.22
Total Current Assets,29.87,35.98,33.15,42.68,43.31,35.86,41.94,45.81,25.9,26.74,25.58
Net PP&E,8.59,11.36,8.09,7.31,5.55,5.73,5.55,4.85,4.39,4.62,4.92
Intangibles,52.34,30.17,56.66,48.23,35.64,29.73,27.7,35.09,53.81,52.17,44.64
Other Long-Term Assets,9.2,22.48,2.1,1.78,15.5,28.68,24.81,14.25,15.9,16.47,24.86
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,0.4,0.84,0.93,0.32,0.32,0.31,0.41,0.46,0.53,0.68,0.63
Short-Term Debt,,,,,,,,18.96,7.48,4.03,
Taxes Payable,,,,,,,,,,0.01,0.04
Accrued Liabilities,4.2,7.05,4.93,4.16,2.96,3.84,3.6,3.59,4.13,4.44,3.9
Other Short-Term Liabilities,2.56,1.48,1.26,1.7,2.61,1.96,2.27,1.8,2.47,2.39,3.46
Total Current Liabilities,7.17,9.38,7.11,6.18,5.88,6.1,6.28,24.81,14.61,11.56,8.03
Long-Term Debt,24.95,4.51,29.84,26.1,34.93,33.44,31.19,32.02,52.62,47.62,41.16
Other Long-Term Liabilities,17.67,21.73,16.35,15.3,16.81,16.45,15.24,13.56,9.93,10.19,9.59
Total Liabilities,49.78,35.61,53.3,47.58,57.63,56.0,52.71,70.38,77.16,69.36,58.78
Total Stockholders' Equity,50.22,64.39,46.7,52.42,42.37,44.0,47.29,29.62,22.84,30.64,41.22
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
