Key Financials EUR,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue EUR Mil,256.0,278.0,279.0,248.0,238.0,217.0,202.0,199.0,170.0,159.0,153.0
Gross Margin %,79.8,80.5,82.6,83.0,82.5,82.9,82.7,81.9,86.8,88.6,
Operating Income EUR Mil,-2.0,-10.0,14.0,5.0,5.0,-8.0,-13.0,11.0,2.0,3.0,3.0
Operating Margin %,-0.7,-3.6,4.8,1.9,2.2,-3.5,-6.3,5.5,1.1,2.0,2.0
Net Income EUR Mil,-6.0,-15.0,0.0,-5.0,-5.0,-9.0,-16.0,-2.0,4.0,-3.0,-2.0
Earnings Per Share EUR,,-0.1,0.04,-0.03,-0.03,-0.05,-0.1,-0.02,0.02,-0.02,-0.01
Dividends EUR,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,,192.0,5.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,
Book Value Per Share * EUR,,,,,,0.37,0.28,0.15,0.22,0.21,0.18
Operating Cash Flow EUR Mil,23.0,-6.0,-4.0,6.0,5.0,4.0,3.0,-7.0,3.0,9.0,9.0
Cap Spending EUR Mil,-73.0,-24.0,-5.0,-4.0,-6.0,-10.0,-4.0,-3.0,-1.0,-1.0,-1.0
Free Cash Flow EUR Mil,-50.0,-30.0,-9.0,3.0,-0.0,-6.0,-2.0,-9.0,1.0,8.0,8.0
Free Cash Flow Per Share * EUR,0.03,-0.33,,,,,0.01,-0.05,-0.03,0.04,
Working Capital EUR Mil,-67.0,-20.0,-57.0,-51.0,-60.0,-78.0,-100.0,-80.0,-85.0,-86.0,
