Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,61168.0,61251.0,65028.0,58699.0,60710.0,61497.0,71024.0,73874.0,79157.0,84863.0,89074.0
Gross Margin %,,,,,,,,,,,
Operating Income USD Mil,5257.0,3122.0,7403.0,4354.0,3958.0,3858.0,3840.0,4368.0,4631.0,4555.0,4498.0
Operating Margin %,8.6,5.1,11.4,7.4,6.5,6.3,5.4,5.9,5.9,5.4,5.0
Net Income USD Mil,3345.0,2490.0,4745.0,2887.0,2646.0,2656.0,2489.0,2569.0,2560.0,2470.0,2981.0
Earnings Per Share USD,5.56,4.76,9.88,6.94,7.25,8.18,8.2,8.99,9.38,9.21,11.07
Dividends USD,,,,,1.0,1.15,1.5,1.75,2.5,2.6,2.0
Payout Ratio % *,,,,,9.8,14.1,15.3,20.6,22.0,30.1,18.1
Shares Mil,602.0,523.0,481.0,416.0,365.0,325.0,304.0,285.0,272.0,268.0,269.0
Book Value Per Share * USD,,,722.56,781.65,979.51,1018.31,1106.62,1336.26,1546.35,1945.06,1939.4
Operating Cash Flow USD Mil,4345.0,2535.0,3039.0,1417.0,3374.0,2744.0,3052.0,3369.0,4116.0,3205.0,5697.0
Cap Spending USD Mil,-322.0,-346.0,-378.0,-451.0,-520.0,-544.0,-647.0,-715.0,-638.0,-584.0,-684.0
Free Cash Flow USD Mil,4022.0,2190.0,2661.0,965.0,2855.0,2199.0,2406.0,2654.0,3478.0,2621.0,5012.0
Free Cash Flow Per Share * USD,,,72.38,28.79,128.66,88.29,126.96,136.2,173.69,250.25,
Working Capital USD Mil,,,,,,,,,,,
