Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,3.83,3.48,2.77,2.93,2.59,2.27,2.33,3.77,1.63,1.98,2.51
Accounts Receivable,7.84,7.02,6.32,5.8,5.94,4.73,4.82,4.74,5.15,10.88,7.69
Inventory,0.88,0.89,0.83,0.87,0.96,0.9,0.85,0.36,0.33,0.37,0.13
Other Current Assets,2.54,2.06,1.68,1.8,1.53,1.5,1.69,1.75,1.36,1.2,18.49
Total Current Assets,15.09,13.45,11.6,11.4,11.01,9.4,9.69,10.62,8.47,14.43,28.83
Net PP&E,13.42,12.35,10.59,10.22,9.19,8.15,7.8,3.27,2.89,3.56,1.74
Intangibles,71.28,74.17,77.8,77.7,79.13,81.9,81.76,84.28,85.73,80.34,67.9
Other Long-Term Assets,0.21,0.02,0.02,0.68,0.67,0.55,0.75,1.84,2.91,1.67,1.54
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,1.63,1.57,1.4,1.31,1.26,1.15,1.26,0.54,0.5,0.61,0.35
Short-Term Debt,0.74,0.75,0.53,0.57,0.69,0.85,0.96,0.34,0.31,0.28,0.3
Taxes Payable,,,0.04,,0.11,,,,0.12,0.01,
Accrued Liabilities,1.88,1.69,2.02,1.81,1.99,1.43,1.91,3.76,3.78,5.61,5.09
Other Short-Term Liabilities,0.13,,,0.05,,0.7,,0.54,1.48,0.41,4.44
Total Current Liabilities,4.37,4.01,3.99,3.74,4.05,4.13,4.13,5.18,6.19,6.91,10.19
Long-Term Debt,27.74,29.35,27.3,24.29,28.48,30.36,26.78,40.41,36.74,34.66,35.68
Other Long-Term Liabilities,15.28,15.81,21.0,23.59,28.3,31.79,34.0,24.0,22.04,18.15,18.01
Total Liabilities,47.39,49.17,52.29,51.62,60.82,66.28,64.91,69.59,64.97,59.72,63.88
Total Stockholders' Equity,52.61,50.83,47.71,48.38,39.18,33.72,35.09,30.41,35.03,40.28,36.12
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
