Key Financials GBP,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue GBP Mil,289.0,895.0,1299.0,1035.0,1080.0,1051.0,1466.0,324.0,261.0,889.0,1870.0
Gross Margin %,20.7,24.3,25.3,29.4,30.6,31.5,35.1,33.2,31.4,29.6,30.8
Operating Income GBP Mil,20.0,70.0,113.0,134.0,111.0,54.0,193.0,37.0,4.0,-62.0,5.0
Operating Margin %,7.2,7.8,8.7,12.9,10.2,5.1,13.1,11.4,1.8,-6.9,0.3
Net Income GBP Mil,215.0,-48.0,80.0,141.0,286.0,39.0,563.0,194.0,1407.0,-39.0,8.0
Earnings Per Share GBP,1.18,-0.18,0.19,0.32,0.55,0.07,0.72,0.24,1.77,-0.02,
Dividends GBP,0.21,0.08,0.09,0.1,0.13,0.12,0.13,0.11,0.1,0.01,0.02
Payout Ratio % *,208.3,170.7,66.2,44.4,46.2,171.6,120.6,74.0,135.8,,
Shares Mil,182.0,265.0,427.0,439.0,518.0,584.0,782.0,794.0,794.0,1589.0,1791.0
Book Value Per Share * GBP,2.37,1.93,1.82,2.11,2.22,2.25,2.46,1.94,1.7,0.25,1.02
Operating Cash Flow GBP Mil,15.0,118.0,175.0,118.0,91.0,43.0,136.0,117.0,31.0,51.0,-40.0
Cap Spending GBP Mil,-8.0,-31.0,-24.0,-24.0,-39.0,-54.0,-50.0,-62.0,-17.0,-17.0,-35.0
Free Cash Flow GBP Mil,7.0,87.0,151.0,93.0,52.0,-12.0,85.0,54.0,13.0,33.0,-76.0
Free Cash Flow Per Share * GBP,0.04,0.33,0.35,0.21,0.13,-0.02,0.06,0.06,0.04,-0.01,
Working Capital GBP Mil,45.0,287.0,167.0,221.0,225.0,228.0,208.0,46.0,2488.0,129.0,
