Key Financials GBP,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue GBP Mil,18.0,19.0,16.0,11.0,12.0,9.0,6.0,13.0,13.0,15.0,16.0
Gross Margin %,37.2,31.7,37.9,37.9,36.5,43.1,40.4,30.4,35.2,36.3,38.0
Operating Income GBP Mil,-0.0,1.0,1.0,0.0,0.0,0.0,-1.0,1.0,1.0,1.0,1.0
Operating Margin %,-0.7,5.0,8.0,0.7,2.8,3.6,-21.2,5.7,7.2,7.2,7.1
Net Income GBP Mil,-0.0,1.0,1.0,0.0,0.0,0.0,-2.0,1.0,1.0,1.0,1.0
Earnings Per Share GBP,-0.1,0.2,0.2,0.1,0.05,0.03,-0.16,0.01,0.02,0.02,0.02
Dividends GBP,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,6.0,6.0,6.0,6.0,6.0,7.0,14.0,35.0,47.0,49.0,49.0
Book Value Per Share * GBP,-0.36,-0.25,-0.05,0.01,0.01,0.14,0.03,0.06,0.08,0.1,0.13
Operating Cash Flow GBP Mil,-0.0,0.0,2.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0
Cap Spending GBP Mil,-0.0,-0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-1.0,-0.0,-1.0,-1.0
Free Cash Flow GBP Mil,-0.0,-0.0,1.0,-1.0,1.0,0.0,-2.0,0.0,1.0,0.0,-0.0
Free Cash Flow Per Share * GBP,-0.06,-0.02,0.22,-0.21,,0.06,-0.15,-0.01,0.01,0.01,
Working Capital GBP Mil,-3.0,-1.0,-1.0,-1.0,-1.0,-0.0,2.0,2.0,3.0,3.0,
