Key Financials EUR,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue EUR Mil,45576.0,7526.0,46409.0,49179.0,31786.0,46580.0,48430.0,46338.0,37827.0,53162.0,52134.0
Gross Margin %,,,,,,,,,,,
Operating Income EUR Mil,3041.0,-1085.0,-464.0,1873.0,909.0,2005.0,1189.0,916.0,-515.0,609.0,2210.0
Operating Margin %,6.7,-14.4,-1.0,3.8,2.9,4.3,2.5,2.0,-1.4,1.1,4.2
Net Income EUR Mil,2551.0,-1082.0,204.0,1759.0,884.0,1632.0,986.0,765.0,-432.0,437.0,1697.0
Earnings Per Share EUR,1.47,-0.92,-0.16,0.68,-0.05,0.72,0.36,0.29,-0.27,0.15,0.76
Dividends EUR,0.61,0.62,,,,0.2,0.22,0.22,0.24,0.26,0.26
Payout Ratio % *,41.5,,,,,29.8,54.5,64.8,,86.7,34.2
Shares Mil,1563.0,1507.0,1587.0,2165.0,1852.0,1907.0,2401.0,2674.0,2685.0,2623.0,2610.0
Book Value Per Share * EUR,9.26,8.68,10.83,13.45,12.65,15.48,13.16,12.2,13.23,12.22,11.67
Operating Cash Flow EUR Mil,-1356.0,1323.0,-7005.0,1263.0,2266.0,-966.0,-1730.0,4122.0,914.0,3319.0,229.0
Cap Spending EUR Mil,-85.0,-97.0,-212.0,-136.0,-90.0,-103.0,-88.0,-105.0,-142.0,-91.0,-99.0
Free Cash Flow EUR Mil,-1441.0,1226.0,-7217.0,1127.0,2176.0,-1069.0,-1818.0,4017.0,772.0,3228.0,130.0
Free Cash Flow Per Share * EUR,-0.83,0.81,-4.55,0.52,-0.07,-0.56,-0.73,0.82,0.62,1.37,
Working Capital EUR Mil,,,,,,,,,,,
