Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,2.76,1.75,2.44,4.86,4.24,1.76,2.35,2.05,1.24,1.05,1.55
Accounts Receivable,21.94,22.97,23.9,25.69,24.88,27.07,29.9,32.79,29.27,29.78,24.07
Inventory,10.06,12.72,11.18,10.48,12.56,15.45,13.15,11.92,12.65,11.46,10.15
Other Current Assets,8.92,10.42,9.92,8.55,8.25,5.6,10.85,8.19,3.82,4.13,23.25
Total Current Assets,43.69,47.86,47.44,49.59,49.94,49.88,56.25,54.95,46.98,46.41,59.01
Net PP&E,34.2,31.37,30.75,27.67,26.36,25.98,23.84,24.5,16.07,16.32,9.03
Intangibles,6.59,6.58,6.68,5.86,11.04,12.41,13.26,11.22,25.5,25.59,21.08
Other Long-Term Assets,15.53,14.19,15.13,16.89,12.66,11.73,6.64,9.33,11.45,11.68,10.88
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,11.98,12.44,9.26,11.73,12.24,10.13,,8.12,6.38,,
Short-Term Debt,4.6,1.03,1.78,4.06,1.24,1.29,13.33,9.83,1.78,1.53,3.54
Taxes Payable,,0.82,0.11,0.46,0.41,0.75,0.67,0.42,0.31,0.2,0.67
Accrued Liabilities,9.53,10.39,9.88,12.04,10.18,8.49,8.4,12.9,9.49,10.29,12.0
Other Short-Term Liabilities,1.38,0.68,1.58,0.73,0.49,5.3,15.54,4.5,5.01,11.4,10.71
Total Current Liabilities,27.49,25.35,22.61,29.02,24.57,25.96,37.95,35.77,22.97,23.43,26.92
Long-Term Debt,15.35,19.8,18.75,15.15,20.81,20.78,22.05,21.6,32.19,29.3,24.65
Other Long-Term Liabilities,18.22,24.68,24.32,21.75,21.47,19.42,10.98,13.97,15.34,15.39,13.42
Total Liabilities,61.06,69.84,65.68,65.92,66.86,66.16,70.97,71.34,70.51,68.11,64.99
Total Stockholders' Equity,38.94,30.16,34.32,34.08,33.14,33.84,29.03,28.66,29.49,31.89,35.01
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
