Key Financials USD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue USD Mil,2813.0,2546.0,2917.0,3334.0,3807.0,4485.0,4861.0,5204.0,5405.0,6325.0,6325.0
Gross Margin %,,,,,,,,,,,
Operating Income USD Mil,383.0,236.0,356.0,451.0,468.0,594.0,716.0,974.0,960.0,1083.0,1083.0
Operating Margin %,13.6,9.3,12.2,13.5,12.3,13.2,14.7,18.7,17.8,17.1,17.1
Net Income USD Mil,235.0,153.0,228.0,278.0,296.0,367.0,480.0,502.0,529.0,636.0,636.0
Earnings Per Share USD,1.97,1.25,1.83,2.19,2.2,2.58,3.32,3.43,3.65,4.33,4.33
Dividends USD,,,0.11,0.52,0.52,0.56,0.64,0.72,0.8,0.66,0.66
Payout Ratio % *,,,6.0,23.7,24.3,23.3,19.3,20.0,23.3,15.2,15.2
Shares Mil,119.0,117.0,120.0,123.0,132.0,141.0,144.0,146.0,145.0,147.0,147.0
Book Value Per Share * USD,11.11,11.28,13.55,15.07,17.76,18.82,22.41,27.81,29.9,31.75,32.92
Operating Cash Flow USD Mil,81.0,414.0,-1021.0,1558.0,391.0,660.0,508.0,899.0,-518.0,1306.0,1306.0
Cap Spending USD Mil,-51.0,-36.0,-22.0,-37.0,-78.0,-73.0,-60.0,-74.0,-122.0,-190.0,-190.0
Free Cash Flow USD Mil,30.0,379.0,-1044.0,1521.0,314.0,587.0,447.0,825.0,-640.0,1116.0,1116.0
Free Cash Flow Per Share * USD,0.18,2.18,-6.4,9.12,3.75,2.65,3.56,2.77,1.46,4.36,
Working Capital USD Mil,,,,,,,,,,,
