Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,10.0,10.0,12.0,14.0,12.0,13.0,16.0,18.0,4.0,2.0,2.0
Gross Margin %,52.6,49.7,48.8,46.4,34.8,32.9,40.7,44.8,11.8,-37.8,-46.7
Operating Income USD Mil,-7.0,-8.0,-7.0,-9.0,-15.0,-12.0,-12.0,-7.0,-10.0,-11.0,-9.0
Operating Margin %,-69.3,-83.0,-60.3,-63.7,-120.9,-92.4,-74.9,-40.0,-242.4,-537.1,-566.1
Net Income USD Mil,-8.0,-9.0,-9.0,-11.0,-15.0,-12.0,-12.0,-9.0,-11.0,-11.0,-9.0
Earnings Per Share USD,-0.17,-0.17,-8.07,-0.72,-0.2,-0.14,-0.08,-0.05,-0.05,-0.05,-0.04
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,50.0,50.0,1.0,16.0,92.0,92.0,156.0,164.0,220.0,220.0,223.0
Book Value Per Share * USD,,,,0.96,0.78,0.14,0.12,0.06,0.07,0.04,0.01
Operating Cash Flow USD Mil,-7.0,-7.0,-6.0,-13.0,-16.0,-11.0,-12.0,-8.0,-9.0,-9.0,-6.0
Cap Spending USD Mil,-0.0,-1.0,-1.0,-0.0,-2.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0
Free Cash Flow USD Mil,-7.0,-8.0,-7.0,-14.0,-18.0,-12.0,-14.0,-9.0,-9.0,-9.0,-6.0
Free Cash Flow Per Share * USD,,,,-0.56,-0.24,-0.1,-0.07,-0.05,-0.03,-0.04,
Working Capital USD Mil,7.0,11.0,14.0,33.0,18.0,31.0,19.0,22.0,12.0,4.0,
