Key Balance Sheet Items (in %),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cash & Short-Term Investments,61.89,49.4,34.08,22.3,16.54,19.59,10.82,14.32,20.88,19.76,19.76
Accounts Receivable,11.89,10.65,13.2,10.07,10.62,9.97,11.74,10.45,9.11,9.5,9.5
Inventory,1.29,0.96,1.4,0.67,0.45,0.85,0.91,0.81,0.66,1.29,1.29
Other Current Assets,12.6,5.43,6.76,5.62,5.14,4.99,6.09,5.19,2.57,3.71,3.71
Total Current Assets,87.66,66.43,55.44,38.66,32.75,35.4,29.56,30.77,33.22,34.28,34.28
Net PP&E,6.2,6.22,6.34,6.68,8.78,8.02,8.9,7.74,8.4,9.0,9.0
Intangibles,1.24,1.18,1.44,3.81,3.04,2.78,3.78,3.1,2.68,2.14,2.14
Other Long-Term Assets,4.89,26.17,36.78,50.85,55.43,53.8,57.77,58.39,55.7,54.59,54.59
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,13.95,11.79,15.98,12.57,12.03,10.81,13.02,12.22,11.59,13.07,13.07
Short-Term Debt,,,,,,,2.72,3.79,3.61,4.92,4.92
Taxes Payable,,0.91,0.28,0.98,0.87,0.58,0.52,,,,
Accrued Liabilities,9.4,7.2,6.45,6.97,4.76,2.52,3.32,8.67,6.85,6.86,6.86
Other Short-Term Liabilities,12.26,4.32,4.85,3.52,4.23,7.19,7.78,3.08,2.51,2.01,2.01
Total Current Liabilities,35.61,24.22,27.56,24.04,21.89,21.09,27.37,27.75,24.56,26.86,26.86
Long-Term Debt,,,,,,8.19,12.5,18.41,23.45,25.9,25.9
Other Long-Term Liabilities,11.25,9.17,8.87,10.13,10.97,11.03,12.02,12.76,12.12,11.52,11.52
Total Liabilities,46.86,33.39,36.43,34.16,32.86,40.31,51.89,58.91,60.13,64.28,64.28
Total Stockholders' Equity,53.14,66.61,63.57,65.84,67.14,59.69,48.11,41.09,39.87,35.72,35.72
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
