Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,39.09,46.48,48.5,48.63,54.17,52.62,38.61,40.08,37.59,36.41,40.45
Accounts Receivable,8.42,9.68,11.03,9.0,7.92,8.38,7.91,8.67,10.45,8.91,7.59
Inventory,5.47,5.33,6.49,7.73,5.86,6.19,5.1,5.72,7.34,7.01,6.48
Other Current Assets,4.01,1.32,2.63,3.06,2.39,2.46,1.95,2.11,1.47,1.82,1.07
Total Current Assets,56.97,62.81,68.65,68.42,70.34,69.64,53.58,56.58,56.86,54.15,55.59
Net PP&E,4.68,6.49,8.2,7.06,6.53,6.48,6.71,7.94,9.29,16.66,17.08
Intangibles,29.03,20.08,17.99,18.93,19.51,19.47,34.92,31.12,27.83,23.8,18.95
Other Long-Term Assets,9.31,10.62,5.17,5.58,3.62,4.42,4.79,4.35,6.02,5.39,8.38
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,2.46,2.12,3.69,3.63,2.27,2.56,2.44,2.47,3.78,3.22,3.13
Short-Term Debt,,29.05,20.29,16.94,,1.44,0.97,9.11,2.03,0.03,0.04
Taxes Payable,,,,,0.88,,1.01,1.17,1.2,0.75,0.81
Accrued Liabilities,4.38,5.84,6.87,8.49,4.77,7.87,4.57,6.62,6.93,3.96,3.79
Other Short-Term Liabilities,9.93,,,,2.9,,1.68,2.25,2.62,8.5,5.41
Total Current Liabilities,16.78,37.0,30.86,29.06,10.82,11.87,10.67,21.62,16.55,16.46,13.18
Long-Term Debt,40.5,,,,36.77,31.39,27.8,29.55,27.54,24.48,23.38
Other Long-Term Liabilities,1.05,1.38,8.7,5.81,3.45,5.36,10.75,5.03,5.78,7.73,6.86
Total Liabilities,58.32,38.38,39.56,34.88,51.03,48.62,49.22,56.2,49.87,48.67,43.42
Total Stockholders' Equity,41.68,61.62,60.44,65.12,48.97,51.38,50.78,43.8,50.13,51.33,56.58
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
