Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,601.0,875.0,1052.0,1413.0,1757.0,2179.0,2265.0,2131.0,2384.0,2704.0,2993.0
Gross Margin %,69.0,71.0,71.4,72.9,72.5,72.1,70.4,66.3,66.2,69.9,69.8
Operating Income USD Mil,207.0,311.0,377.0,555.0,694.0,878.0,853.0,544.0,740.0,945.0,992.0
Operating Margin %,34.4,35.5,35.9,39.3,39.5,40.3,37.6,25.6,31.0,35.0,33.1
Net Income USD Mil,145.0,204.0,232.0,382.0,495.0,657.0,671.0,419.0,588.0,735.0,902.0
Earnings Per Share USD,1.23,1.71,1.98,3.16,4.11,5.33,5.58,3.7,5.18,6.24,7.75
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,117.0,120.0,117.0,121.0,120.0,123.0,120.0,113.0,114.0,118.0,117.0
Book Value Per Share * USD,7.7,10.78,13.31,17.46,20.09,29.69,28.48,28.09,36.68,47.61,44.25
Operating Cash Flow USD Mil,206.0,278.0,385.0,528.0,678.0,814.0,880.0,665.0,771.0,1043.0,1098.0
Cap Spending USD Mil,-24.0,-106.0,-53.0,-96.0,-83.0,-142.0,-104.0,-105.0,-81.0,-53.0,-178.0
Free Cash Flow USD Mil,182.0,172.0,332.0,432.0,595.0,672.0,775.0,560.0,690.0,989.0,920.0
Free Cash Flow Per Share * USD,1.55,1.44,2.82,3.57,4.11,5.45,5.77,5.51,4.93,8.09,
Working Capital USD Mil,478.0,539.0,644.0,1002.0,1146.0,1491.0,1552.0,1345.0,1703.0,2654.0,
