Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,0.94,1.11,0.64,5.12,1.03,7.53,3.33,2.83,1.44,2.81,2.22
Accounts Receivable,1.45,1.44,1.52,1.56,2.76,3.35,4.01,3.97,4.14,4.41,4.27
Inventory,,,,,,,,,,,
Other Current Assets,0.85,0.74,0.7,0.81,1.65,1.25,1.52,1.69,1.8,1.85,2.12
Total Current Assets,3.23,3.29,2.86,7.5,5.43,12.12,8.86,8.49,7.39,9.06,8.61
Net PP&E,20.83,21.63,21.16,19.84,17.46,16.51,18.79,19.43,20.21,20.08,20.43
Intangibles,68.35,69.81,69.62,65.81,66.16,63.16,65.35,65.06,65.59,62.39,61.98
Other Long-Term Assets,7.59,5.27,6.36,6.86,10.94,8.22,6.99,7.03,6.81,8.46,8.98
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,2.94,,,,,,,,,,
Short-Term Debt,1.32,2.02,1.03,1.52,0.87,1.44,2.07,2.65,2.18,3.04,2.83
Taxes Payable,,,,,,,,,,,
Accrued Liabilities,0.44,0.55,2.66,2.65,3.41,4.41,5.8,4.17,4.22,4.44,4.13
Other Short-Term Liabilities,2.32,5.34,2.74,2.78,4.12,4.28,4.05,4.11,4.51,4.46,4.61
Total Current Liabilities,7.01,7.91,6.43,6.95,8.39,10.13,11.91,10.93,10.91,11.93,11.58
Long-Term Debt,26.3,26.7,24.78,24.98,24.04,23.08,28.06,27.62,29.41,30.78,32.23
Other Long-Term Liabilities,30.24,29.6,30.89,30.65,37.61,36.87,28.11,28.37,28.3,27.4,26.28
Total Liabilities,63.55,64.21,62.1,62.58,70.05,70.08,68.08,66.92,68.62,70.11,70.09
Total Stockholders' Equity,36.45,35.79,37.9,37.42,29.95,29.92,31.92,33.08,31.38,29.89,29.91
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
