Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,22.24,19.26,23.13,23.62,45.04,16.01,15.7,24.0,32.43,25.7,37.9
Accounts Receivable,19.24,16.66,12.81,16.74,11.05,10.08,13.62,12.68,11.36,15.62,11.84
Inventory,12.33,18.22,17.0,14.14,12.27,10.51,11.73,11.89,11.97,14.05,15.07
Other Current Assets,8.2,6.97,6.48,7.32,6.34,5.56,5.8,4.31,4.73,1.89,1.92
Total Current Assets,62.0,61.1,59.42,61.82,74.71,42.16,46.85,52.88,60.5,57.26,66.73
Net PP&E,9.87,10.03,11.39,8.8,6.25,7.52,7.06,6.54,5.83,6.42,5.22
Intangibles,12.89,14.33,15.43,14.83,11.15,40.27,36.51,32.3,26.55,26.67,20.01
Other Long-Term Assets,15.24,14.53,13.76,14.55,7.89,10.06,9.58,8.28,7.13,9.64,8.04
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,4.28,25.41,4.98,6.01,3.49,3.27,4.83,4.65,4.3,5.57,4.9
Short-Term Debt,0.02,0.01,0.01,0.01,,,,,7.84,1.37,
Taxes Payable,,,0.13,0.9,1.14,0.61,0.95,1.47,0.77,1.04,0.28
Accrued Liabilities,8.68,,3.35,8.37,6.72,7.7,6.06,7.25,6.15,6.75,3.42
Other Short-Term Liabilities,9.3,1.59,11.78,11.09,8.8,7.13,8.44,8.06,5.76,10.17,14.31
Total Current Liabilities,22.28,27.01,20.26,26.39,20.16,18.72,20.29,21.43,24.81,24.9,22.91
Long-Term Debt,1.9,1.85,2.1,1.87,14.05,16.08,16.16,14.78,21.83,21.55,27.8
Other Long-Term Liabilities,2.41,2.84,3.55,2.88,2.31,5.42,4.7,4.07,3.63,4.09,3.61
Total Liabilities,26.59,31.7,25.9,31.14,36.51,40.22,41.14,40.28,50.27,50.53,54.31
Total Stockholders' Equity,73.41,68.3,74.1,68.86,63.49,59.78,58.86,59.72,49.73,49.47,45.69
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
