Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,2102.0,2306.0,2050.0,2386.0,2797.0,2993.0,3238.0,3549.0,3582.0,3790.0,4392.0
Gross Margin %,50.4,51.5,50.9,53.4,54.2,55.8,58.1,59.2,60.4,61.5,62.1
Operating Income USD Mil,438.0,486.0,395.0,514.0,661.0,758.0,842.0,999.0,1028.0,1055.0,1152.0
Operating Margin %,20.9,21.1,19.3,21.6,23.6,25.3,26.0,28.2,28.7,27.8,26.2
Net Income USD Mil,250.0,282.0,239.0,323.0,427.0,483.0,538.0,646.0,696.0,659.0,710.0
Earnings Per Share USD,2.68,3.01,2.58,3.34,4.34,4.86,5.37,6.4,6.85,6.43,6.89
Dividends USD,,,0.14,0.42,0.47,0.58,0.49,1.05,0.75,1.25,1.05
Payout Ratio % *,,,,14.7,10.4,8.9,12.2,12.3,18.1,13.4,15.2
Shares Mil,93.0,94.0,93.0,97.0,98.0,100.0,100.0,101.0,102.0,102.0,103.0
Book Value Per Share * USD,13.12,15.87,,20.97,24.5,27.46,29.75,38.19,46.54,53.15,53.74
Operating Cash Flow USD Mil,344.0,434.0,367.0,500.0,602.0,678.0,803.0,840.0,929.0,964.0,1136.0
Cap Spending USD Mil,-30.0,-30.0,-26.0,-29.0,-41.0,-38.0,-43.0,-38.0,-36.0,-40.0,-56.0
Free Cash Flow USD Mil,313.0,404.0,342.0,471.0,561.0,639.0,760.0,803.0,893.0,924.0,1081.0
Free Cash Flow Per Share * USD,2.26,2.95,,3.45,4.15,4.7,5.35,6.34,7.99,8.57,
Working Capital USD Mil,284.0,239.0,393.0,458.0,561.0,159.0,730.0,884.0,898.0,331.0,
