Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,15.3,13.11,14.63,17.5,17.57,13.23,14.56,14.6,16.41,14.81,15.28
Accounts Receivable,55.7,53.76,48.41,46.94,47.97,49.39,47.44,48.93,48.24,47.0,47.06
Inventory,3.65,4.05,4.34,3.75,4.14,4.2,3.93,4.49,3.77,3.53,4.25
Other Current Assets,1.19,1.3,1.54,1.54,1.45,1.78,1.49,1.41,1.16,1.09,1.09
Total Current Assets,75.84,72.22,68.92,69.73,71.12,68.6,67.41,69.43,69.59,66.43,67.68
Net PP&E,20.03,23.03,25.91,25.94,25.41,27.92,28.19,26.94,26.29,28.58,28.02
Intangibles,,,,,,,,,,,
Other Long-Term Assets,4.13,4.75,5.18,4.33,3.47,3.47,4.4,3.64,4.13,5.0,4.3
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,7.07,5.34,,,6.4,4.5,4.71,5.66,4.4,4.55,
Short-Term Debt,23.84,22.01,18.5,15.1,21.39,17.85,11.66,12.81,13.25,11.86,12.4
Taxes Payable,,,,,,,,,,,
Accrued Liabilities,6.83,7.23,,,5.61,5.76,4.44,4.16,2.44,2.61,
Other Short-Term Liabilities,2.13,0.22,11.7,13.72,5.41,3.04,4.68,4.9,7.0,9.21,17.48
Total Current Liabilities,39.87,34.79,30.21,28.82,38.81,31.15,25.49,27.54,27.09,28.23,29.88
Long-Term Debt,21.88,24.05,23.18,21.96,17.36,24.45,28.99,27.1,27.45,29.21,25.83
Other Long-Term Liabilities,9.16,11.33,11.58,11.58,12.59,13.01,13.52,12.6,12.59,9.73,9.94
Total Liabilities,70.9,70.17,64.97,62.36,68.76,68.61,67.99,67.25,67.12,67.16,65.65
Total Stockholders' Equity,29.1,29.83,35.03,37.64,31.24,31.39,32.01,32.75,32.88,32.84,34.35
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
